Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3","Top of the 1st, Braves Batting, Tied 0-0, Red Sox' Garrett Richards facing 1-2-3"
,,,,,,,,,"0 runs, 2 hits, 0 errors, 2 LOB. Braves 2, Red Sox 1.","0 runs, 2 hits, 0 errors, 2 LOB. Braves 2, Red Sox 1.","0 runs, 2 hits, 0 errors, 2 LOB. Braves 2, Red Sox 1."
"Bottom of the 4th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 1-2, Braves' Charlie Morton facing 6-7-8"
b4,1-2,0,---,"3,(0-2) CFC",O,BOS,Christian Vazquez,Charlie Morton,3%,59%,Strikeout Looking
b4,1-2,1,---,"4,(1-2) TLBS",O,BOS,Danny Santana,Charlie Morton,2%,61%,Strikeout Swinging
b4,1-2,2,---,"6,(3-2) CCBBBX",O,BOS,Hunter Renfroe,Charlie Morton,2%,63%,Lineout: SS (Deep SS)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Braves 2, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Braves 2, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Braves 2, Red Sox 1."
"Top of the 5th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 2-3-4","Top of the 5th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 2-3-4","Top of the 5th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 2-3-4","Top of the 5th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 2-3-4","Top of the 5th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 2-3-4","Top of the 5th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 2-3-4","Top of the 5th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 2-3-4","Top of the 5th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 2-3-4","Top of the 5th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 2-3-4","Top of the 5th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 2-3-4","Top of the 5th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 2-3-4","Top of the 5th, Braves Batting, Ahead 2-1, Red Sox' Garrett Richards facing 2-3-4"
t5,2-1,0,---,"2,(0-1) SX",O,ATL,Freddie Freeman,Garrett Richards,-3%,60%,Groundout: SS-1B
t5,2-1,1,---,"6,(2-2) TFFBBX",O,ATL,Ehire Adrianza,Garrett Richards,-2%,58%,Groundout: 2B-1B (Deep 2B-1B)
t5,2-1,2,---,"8,(3-2) CFBBBFFB",,ATL,Ozzie Albies,Garrett Richards,1%,60%,Walk
