Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3","Top of the 1st, Astros Batting, Tied 0-0, Red Sox' Rick Porcello facing 1-2-3"
b3,1-2,2,---,"1,(0-0) X",,BOS,Mitch Moreland,Charlie Morton,-3%,58%,Double to RF (Ground Ball)
b3,1-2,2,-2-,"7,(3-2) FBSBFBX",O,BOS,Hanley Ramirez,Charlie Morton,4%,62%,Single to LF (Line Drive); Moreland out at Hm/LF-C
,,,,,,,,,"0 runs, 3 hits, 0 errors, 1 LOB. Astros 2, Red Sox 1.","0 runs, 3 hits, 0 errors, 1 LOB. Astros 2, Red Sox 1.","0 runs, 3 hits, 0 errors, 1 LOB. Astros 2, Red Sox 1."
"Top of the 4th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 9-1-2","Top of the 4th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 9-1-2","Top of the 4th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 9-1-2","Top of the 4th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 9-1-2","Top of the 4th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 9-1-2","Top of the 4th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 9-1-2","Top of the 4th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 9-1-2","Top of the 4th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 9-1-2","Top of the 4th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 9-1-2","Top of the 4th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 9-1-2","Top of the 4th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 9-1-2","Top of the 4th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 9-1-2"
,,,,,,,,,Chris Sale replaces Rick Porcello pitching,Chris Sale replaces Rick Porcello pitching,Chris Sale replaces Rick Porcello pitching
t4,2-1,0,---,"5,(2-2) .CBBCC",O,HOU,Brian McCann,Chris Sale,-2%,59%,Strikeout Looking
t4,2-1,1,---,"7,(3-2) BBCSBFX",O,HOU,George Springer,Chris Sale,-2%,58%,Popfly: 2B
t4,2-1,2,---,"2,(0-1) CX",O,HOU,Josh Reddick,Chris Sale,-1%,56%,Groundout: P-1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Astros 2, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Astros 2, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Astros 2, Red Sox 1."
"Bottom of the 4th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 7-8-9","Bottom of the 4th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 7-8-9","Bottom of the 4th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 7-8-9","Bottom of the 4th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 7-8-9","Bottom of the 4th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 7-8-9","Bottom of the 4th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 7-8-9","Bottom of the 4th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 7-8-9","Bottom of the 4th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 7-8-9","Bottom of the 4th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 7-8-9","Bottom of the 4th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 7-8-9","Bottom of the 4th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 7-8-9","Bottom of the 4th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 7-8-9"
b4,1-2,0,---,"5,(2-2) FFBBS",O,BOS,Rafael Devers,Charlie Morton,3%,59%,Strikeout Swinging
b4,1-2,1,---,"6,(1-2) CBSFFS",O,BOS,Christian Vázquez,Charlie Morton,2%,62%,Strikeout Swinging
b4,1-2,2,---,"4,(1-2) BCFS",O,BOS,Jackie Bradley Jr.,Charlie Morton,1%,63%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Astros 2, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Astros 2, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Astros 2, Red Sox 1."
"Top of the 5th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 3-4-5","Top of the 5th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 3-4-5","Top of the 5th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 3-4-5","Top of the 5th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 3-4-5","Top of the 5th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 3-4-5","Top of the 5th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 3-4-5","Top of the 5th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 3-4-5","Top of the 5th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 3-4-5","Top of the 5th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 3-4-5","Top of the 5th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 3-4-5","Top of the 5th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 3-4-5","Top of the 5th, Astros Batting, Ahead 2-1, Red Sox' Chris Sale facing 3-4-5"
t5,2-1,0,---,"3,(1-1) SBX",O,HOU,Jose Altuve,Chris Sale,-3%,61%,Bunt Groundout: 3B-1B
t5,2-1,1,---,"9,(3-2) BCSBFBFFC",O,HOU,Carlos Correa,Chris Sale,-2%,59%,Strikeout Looking
t5,2-1,2,---,"4,(2-1) CBBX",O,HOU,Marwin Gonzalez,Chris Sale,-1%,57%,Flyball: CF
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Astros 2, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Astros 2, Red Sox 1.","0 runs, 0 hits, 0 errors, 0 LOB. Astros 2, Red Sox 1."
"Bottom of the 5th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 1-2, Astros' Charlie Morton facing 1-2-3"
b5,1-2,0,---,"2,(0-1) CX",O,BOS,Dustin Pedroia,Charlie Morton,4%,61%,Groundout: 3B-1B
b5,1-2,1,---,"6,(3-2) BCBBFB",,BOS,Xander Bogaerts,Charlie Morton,-4%,57%,Walk
,,,,,,,,,Justin Verlander replaces Charlie Morton pitching,Justin Verlander replaces Charlie Morton pitching,Justin Verlander replaces Charlie Morton pitching
b5,1-2,1,1--,"5,(2-2) .C*B1FBX",RR,BOS,Andrew Benintendi,Justin Verlander,-25%,32%,Home Run (Fly Ball); Bogaerts Scores
b5,3-2,1,---,"2,(1-0) BX",O,BOS,Mookie Betts,Justin Verlander,2%,34%,Groundout: SS-1B
b5,3-2,2,---,"6,(3-2) BBCFBB",,BOS,Mitch Moreland,Justin Verlander,-1%,32%,Walk
b5,3-2,2,1--,"2,(0-1) FX",O,BOS,Hanley Ramirez,Justin Verlander,2%,35%,Flyball: CF
,,,,,,,,,"2 runs, 1 hit, 0 errors, 1 LOB. Astros 2, Red Sox 3.","2 runs, 1 hit, 0 errors, 1 LOB. Astros 2, Red Sox 3.","2 runs, 1 hit, 0 errors, 1 LOB. Astros 2, Red Sox 3."
"Top of the 6th, Astros Batting, Behind 2-3, Red Sox' Chris Sale facing 6-7-8","Top of the 6th, Astros Batting, Behind 2-3, Red Sox' Chris Sale facing 6-7-8","Top of the 6th, Astros Batting, Behind 2-3, Red Sox' Chris Sale facing 6-7-8","Top of the 6th, Astros Batting, Behind 2-3, Red Sox' Chris Sale facing 6-7-8","Top of the 6th, Astros Batting, Behind 2-3, Red Sox' Chris Sale facing 6-7-8","Top of the 6th, Astros Batting, Behind 2-3, Red Sox' Chris Sale facing 6-7-8","Top of the 6th, Astros Batting, Behind 2-3, Red Sox' Chris Sale facing 6-7-8","Top of the 6th, Astros Batting, Behind 2-3, Red Sox' Chris Sale facing 6-7-8","Top of the 6th, Astros Batting, Behind 2-3, Red Sox' Chris Sale facing 6-7-8","Top of the 6th, Astros Batting, Behind 2-3, Red Sox' Chris Sale facing 6-7-8","Top of the 6th, Astros Batting, Behind 2-3, Red Sox' Chris Sale facing 6-7-8","Top of the 6th, Astros Batting, Behind 2-3, Red Sox' Chris Sale facing 6-7-8"
t6,2-3,0,---,"1,(0-0) X",O,HOU,Alex Bregman,Chris Sale,-4%,31%,Flyball: CF
t6,2-3,1,---,"3,(1-1) BCX",,HOU,Yuli Gurriel,Chris Sale,6%,38%,Reached on E5 (Ground Ball); Gurriel to 2B
t6,2-3,1,-2-,"4,(0-2) CFFC",O,HOU,Evan Gattis,Chris Sale,-6%,32%,Strikeout Looking
t6,2-3,2,-2-,"3,(0-2) CFS",O,HOU,Brian McCann,Chris Sale,-5%,27%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 1 error, 1 LOB. Astros 2, Red Sox 3.","0 runs, 0 hits, 1 error, 1 LOB. Astros 2, Red Sox 3.","0 runs, 0 hits, 1 error, 1 LOB. Astros 2, Red Sox 3."
