Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Bottom of the 6th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 5-6-7","Bottom of the 6th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 5-6-7","Bottom of the 6th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 5-6-7","Bottom of the 6th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 5-6-7","Bottom of the 6th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 5-6-7","Bottom of the 6th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 5-6-7","Bottom of the 6th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 5-6-7","Bottom of the 6th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 5-6-7","Bottom of the 6th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 5-6-7","Bottom of the 6th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 5-6-7","Bottom of the 6th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 5-6-7","Bottom of the 6th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 5-6-7"
b6,3-3,0,---,"6,(3-2) BBFFBX",O,BOS,Andrew Benintendi,Ben Lively,-3%,54%,Popfly: SS (Deep SS)
b6,3-3,1,---,"5,(2-2) BFFBX",O,BOS,Hanley Ramirez,Ben Lively,-3%,52%,Flyball: RF (Deep CF-RF)
b6,3-3,2,---,"2,(0-1) CX",O,BOS,Jackie Bradley Jr.,Ben Lively,-2%,50%,Lineout: LF (Deep LF Line)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Phillies 3, Red Sox 3.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 3, Red Sox 3.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 3, Red Sox 3."
"Top of the 7th, Phillies Batting, Tied 3-3, Red Sox' Robby Scott facing 9-1-2","Top of the 7th, Phillies Batting, Tied 3-3, Red Sox' Robby Scott facing 9-1-2","Top of the 7th, Phillies Batting, Tied 3-3, Red Sox' Robby Scott facing 9-1-2","Top of the 7th, Phillies Batting, Tied 3-3, Red Sox' Robby Scott facing 9-1-2","Top of the 7th, Phillies Batting, Tied 3-3, Red Sox' Robby Scott facing 9-1-2","Top of the 7th, Phillies Batting, Tied 3-3, Red Sox' Robby Scott facing 9-1-2","Top of the 7th, Phillies Batting, Tied 3-3, Red Sox' Robby Scott facing 9-1-2","Top of the 7th, Phillies Batting, Tied 3-3, Red Sox' Robby Scott facing 9-1-2","Top of the 7th, Phillies Batting, Tied 3-3, Red Sox' Robby Scott facing 9-1-2","Top of the 7th, Phillies Batting, Tied 3-3, Red Sox' Robby Scott facing 9-1-2","Top of the 7th, Phillies Batting, Tied 3-3, Red Sox' Robby Scott facing 9-1-2","Top of the 7th, Phillies Batting, Tied 3-3, Red Sox' Robby Scott facing 9-1-2"
,,,,,,,,,Robby Scott replaces David Price pitching,Robby Scott replaces David Price pitching,Robby Scott replaces David Price pitching
t7,3-3,0,---,"7,(3-2) .BFBFBFX",O,PHI,Freddy Galvis,Robby Scott,4%,54%,Flyball: RF (Deep RF Line)
t7,3-3,1,---,"7,(1-2) BFCFFFX",O,PHI,Odubel Herrera,Robby Scott,3%,57%,Groundout: SS-1B
t7,3-3,2,---,"5,(3-1) BSBBX",,PHI,Daniel Nava,Robby Scott,-2%,55%,Single to LF (Line Drive to LF-CF)
,,,,,,,,,Blaine Boyer replaces Robby Scott pitching,Blaine Boyer replaces Robby Scott pitching,Blaine Boyer replaces Robby Scott pitching
t7,3-3,2,1--,"5,(2-2) .BBCSX",O,PHI,Aaron Altherr,Blaine Boyer,4%,59%,Groundout: 3B-2B/Forceout at 2B (SS-3B Hole)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Phillies 3, Red Sox 3.","0 runs, 1 hit, 0 errors, 1 LOB. Phillies 3, Red Sox 3.","0 runs, 1 hit, 0 errors, 1 LOB. Phillies 3, Red Sox 3."
"Bottom of the 7th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 8-9-1","Bottom of the 7th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 8-9-1","Bottom of the 7th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 8-9-1","Bottom of the 7th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 8-9-1","Bottom of the 7th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 8-9-1","Bottom of the 7th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 8-9-1","Bottom of the 7th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 8-9-1","Bottom of the 7th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 8-9-1","Bottom of the 7th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 8-9-1","Bottom of the 7th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 8-9-1","Bottom of the 7th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 8-9-1","Bottom of the 7th, Red Sox Batting, Tied 3-3, Phillies' Ben Lively facing 8-9-1"
b7,3-3,0,---,"4,(1-2) CFBX",O,BOS,Josh Rutledge,Ben Lively,-4%,55%,Groundout: 2B-1B
b7,3-3,1,---,"1,(0-0) X",,BOS,Christian Vazquez,Ben Lively,4%,59%,Single to 3B (Ground Ball to SS-3B Hole)
b7,3-3,1,1--,"7,(2-2) BFCBFFX",O,BOS,Mookie Betts,Ben Lively,-5%,54%,Flyball: CF
b7,3-3,2,1--,"7,(3-2) *BBFBS>F>S",O,BOS,Dustin Pedroia,Ben Lively,-4%,50%,Strikeout Swinging (C-1B)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Phillies 3, Red Sox 3.","0 runs, 1 hit, 0 errors, 1 LOB. Phillies 3, Red Sox 3.","0 runs, 1 hit, 0 errors, 1 LOB. Phillies 3, Red Sox 3."
