Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 7th, Indians Batting, Behind 0-3, Red Sox' Brandon Workman facing 4-5-6","Top of the 7th, Indians Batting, Behind 0-3, Red Sox' Brandon Workman facing 4-5-6","Top of the 7th, Indians Batting, Behind 0-3, Red Sox' Brandon Workman facing 4-5-6","Top of the 7th, Indians Batting, Behind 0-3, Red Sox' Brandon Workman facing 4-5-6","Top of the 7th, Indians Batting, Behind 0-3, Red Sox' Brandon Workman facing 4-5-6","Top of the 7th, Indians Batting, Behind 0-3, Red Sox' Brandon Workman facing 4-5-6","Top of the 7th, Indians Batting, Behind 0-3, Red Sox' Brandon Workman facing 4-5-6","Top of the 7th, Indians Batting, Behind 0-3, Red Sox' Brandon Workman facing 4-5-6","Top of the 7th, Indians Batting, Behind 0-3, Red Sox' Brandon Workman facing 4-5-6","Top of the 7th, Indians Batting, Behind 0-3, Red Sox' Brandon Workman facing 4-5-6","Top of the 7th, Indians Batting, Behind 0-3, Red Sox' Brandon Workman facing 4-5-6","Top of the 7th, Indians Batting, Behind 0-3, Red Sox' Brandon Workman facing 4-5-6"
,,,,,,,,,Brandon Workman replaces David Price pitching,Brandon Workman replaces David Price pitching,Brandon Workman replaces David Price pitching
t7,0-3,0,---,"1,(0-0) .X",O,CLE,Jordan Luplow,Brandon Workman,-3%,9%,Bunt Groundout: P-1B (Front of Home)
t7,0-3,1,---,"6,(3-2) BCCBBB",,CLE,Jose Ramirez,Brandon Workman,3%,12%,Walk
t7,0-3,1,1--,"2,(0-1) S1B",,CLE,Roberto Perez,Brandon Workman,1%,13%,Ramirez Steals 2B
,,,,,,,,,Tag play Challenged by BOS manager (Alex Cora): Original call upheld upon review.,Tag play Challenged by BOS manager (Alex Cora): Original call upheld upon review.,Tag play Challenged by BOS manager (Alex Cora): Original call upheld upon review.
t7,0-3,1,-2-,"4,(1-2) S1B.CX",O,CLE,Roberto Perez,Brandon Workman,-4%,10%,Groundout: SS-1B; Ramirez to 3B
t7,0-3,2,--3,"4,(2-1) BCBX",O,CLE,Jake Bauers,Brandon Workman,-3%,7%,Groundout: 2B-1B
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Indians 0, Red Sox 3.","0 runs, 0 hits, 0 errors, 1 LOB. Indians 0, Red Sox 3.","0 runs, 0 hits, 0 errors, 1 LOB. Indians 0, Red Sox 3."
"Bottom of the 7th, Red Sox Batting, Ahead 3-0, Indians' Tyler Clippard facing 8-9-1","Bottom of the 7th, Red Sox Batting, Ahead 3-0, Indians' Tyler Clippard facing 8-9-1","Bottom of the 7th, Red Sox Batting, Ahead 3-0, Indians' Tyler Clippard facing 8-9-1","Bottom of the 7th, Red Sox Batting, Ahead 3-0, Indians' Tyler Clippard facing 8-9-1","Bottom of the 7th, Red Sox Batting, Ahead 3-0, Indians' Tyler Clippard facing 8-9-1","Bottom of the 7th, Red Sox Batting, Ahead 3-0, Indians' Tyler Clippard facing 8-9-1","Bottom of the 7th, Red Sox Batting, Ahead 3-0, Indians' Tyler Clippard facing 8-9-1","Bottom of the 7th, Red Sox Batting, Ahead 3-0, Indians' Tyler Clippard facing 8-9-1","Bottom of the 7th, Red Sox Batting, Ahead 3-0, Indians' Tyler Clippard facing 8-9-1","Bottom of the 7th, Red Sox Batting, Ahead 3-0, Indians' Tyler Clippard facing 8-9-1","Bottom of the 7th, Red Sox Batting, Ahead 3-0, Indians' Tyler Clippard facing 8-9-1","Bottom of the 7th, Red Sox Batting, Ahead 3-0, Indians' Tyler Clippard facing 8-9-1"
