Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3","Top of the 1st, Nationals Batting, Tied 0-0, Red Sox' Martin Perez facing 1-2-3"
t5,6-1,1,1--,"7,(2-2) BBSFFFX",OO,WSN,Asdrubal Cabrera,Robert Stock,-1%,91%,Ground Ball Double Play: P-SS-1B (SS-2B)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. Nationals 6, Red Sox 1.","0 runs, 1 hit, 0 errors, 0 LOB. Nationals 6, Red Sox 1.","0 runs, 1 hit, 0 errors, 0 LOB. Nationals 6, Red Sox 1."
"Bottom of the 5th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 8-9-1","Bottom of the 5th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 8-9-1","Bottom of the 5th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 8-9-1","Bottom of the 5th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 8-9-1","Bottom of the 5th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 8-9-1","Bottom of the 5th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 8-9-1","Bottom of the 5th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 8-9-1","Bottom of the 5th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 8-9-1","Bottom of the 5th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 8-9-1","Bottom of the 5th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 8-9-1","Bottom of the 5th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 8-9-1","Bottom of the 5th, Red Sox Batting, Behind 1-6, Nationals' Max Scherzer facing 8-9-1"
b5,1-6,0,---,"3,(1-1) CBX",O,BOS,Jackie Bradley Jr.,Max Scherzer,2%,93%,Groundout: 2B-1B (2B-1B)
b5,1-6,1,---,"1,(0-0) X",,BOS,Jose Peraza,Max Scherzer,-2%,91%,Single to 2B (Pop Fly)
b5,1-6,1,1--,"4,(1-2) BCFB",,BOS,Alex Verdugo,Max Scherzer,-1%,90%,Wild Pitch; Peraza to 2B
b5,1-6,1,-2-,"5,(2-2) BCFB.X",O,BOS,Alex Verdugo,Max Scherzer,2%,93%,Lineout: LF (Deep LF)
b5,1-6,2,-2-,"5,(2-2) BSFBS",O,BOS,Rafael Devers,Max Scherzer,2%,94%,Strikeout Swinging
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Nationals 6, Red Sox 1.","0 runs, 1 hit, 0 errors, 1 LOB. Nationals 6, Red Sox 1.","0 runs, 1 hit, 0 errors, 1 LOB. Nationals 6, Red Sox 1."
"Top of the 6th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 5-6-7","Top of the 6th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 5-6-7","Top of the 6th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 5-6-7","Top of the 6th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 5-6-7","Top of the 6th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 5-6-7","Top of the 6th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 5-6-7","Top of the 6th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 5-6-7","Top of the 6th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 5-6-7","Top of the 6th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 5-6-7","Top of the 6th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 5-6-7","Top of the 6th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 5-6-7","Top of the 6th, Nationals Batting, Ahead 6-1, Red Sox' Robert Stock facing 5-6-7"
