Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Marlins Batting, Tied 0-0, Red Sox' David Price facing 1-2-3"
"Top of the 6th, Marlins Batting, Ahead 4-2, Red Sox' Hector Velazquez facing 6-7-8","Top of the 6th, Marlins Batting, Ahead 4-2, Red Sox' Hector Velazquez facing 6-7-8","Top of the 6th, Marlins Batting, Ahead 4-2, Red Sox' Hector Velazquez facing 6-7-8","Top of the 6th, Marlins Batting, Ahead 4-2, Red Sox' Hector Velazquez facing 6-7-8","Top of the 6th, Marlins Batting, Ahead 4-2, Red Sox' Hector Velazquez facing 6-7-8","Top of the 6th, Marlins Batting, Ahead 4-2, Red Sox' Hector Velazquez facing 6-7-8","Top of the 6th, Marlins Batting, Ahead 4-2, Red Sox' Hector Velazquez facing 6-7-8","Top of the 6th, Marlins Batting, Ahead 4-2, Red Sox' Hector Velazquez facing 6-7-8","Top of the 6th, Marlins Batting, Ahead 4-2, Red Sox' Hector Velazquez facing 6-7-8","Top of the 6th, Marlins Batting, Ahead 4-2, Red Sox' Hector Velazquez facing 6-7-8","Top of the 6th, Marlins Batting, Ahead 4-2, Red Sox' Hector Velazquez facing 6-7-8","Top of the 6th, Marlins Batting, Ahead 4-2, Red Sox' Hector Velazquez facing 6-7-8"
t6,4-2,0,---,"2,(1-0) BX",O,MIA,Austin Dean,Hector Velazquez,2%,24%,Groundout: 3B-1B
t6,4-2,1,---,"2,(0-1) CX",O,MIA,Miguel Rojas,Hector Velazquez,1%,26%,Groundout: SS-1B
t6,4-2,2,---,"3,(0-2) CFS",O,MIA,JT Riddle,Hector Velazquez,1%,27%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Marlins 4, Red Sox 2.","0 runs, 0 hits, 0 errors, 0 LOB. Marlins 4, Red Sox 2.","0 runs, 0 hits, 0 errors, 0 LOB. Marlins 4, Red Sox 2."
"Bottom of the 6th, Red Sox Batting, Behind 2-4, Marlins' Trevor Richards facing 9-1-2","Bottom of the 6th, Red Sox Batting, Behind 2-4, Marlins' Trevor Richards facing 9-1-2","Bottom of the 6th, Red Sox Batting, Behind 2-4, Marlins' Trevor Richards facing 9-1-2","Bottom of the 6th, Red Sox Batting, Behind 2-4, Marlins' Trevor Richards facing 9-1-2","Bottom of the 6th, Red Sox Batting, Behind 2-4, Marlins' Trevor Richards facing 9-1-2","Bottom of the 6th, Red Sox Batting, Behind 2-4, Marlins' Trevor Richards facing 9-1-2","Bottom of the 6th, Red Sox Batting, Behind 2-4, Marlins' Trevor Richards facing 9-1-2","Bottom of the 6th, Red Sox Batting, Behind 2-4, Marlins' Trevor Richards facing 9-1-2","Bottom of the 6th, Red Sox Batting, Behind 2-4, Marlins' Trevor Richards facing 9-1-2","Bottom of the 6th, Red Sox Batting, Behind 2-4, Marlins' Trevor Richards facing 9-1-2","Bottom of the 6th, Red Sox Batting, Behind 2-4, Marlins' Trevor Richards facing 9-1-2","Bottom of the 6th, Red Sox Batting, Behind 2-4, Marlins' Trevor Richards facing 9-1-2"
b6,2-4,0,---,"3,(1-1) FBX",O,BOS,Jackie Bradley Jr.,Trevor Richards,-4%,23%,Groundout: 2B-1B (2B-1B)
b6,2-4,1,---,"4,(3-0) BBBB",,BOS,Mookie Betts,Trevor Richards,4%,27%,Walk
b6,2-4,1,1--,"5,(3-1) B1B1CBB",,BOS,Andrew Benintendi,Trevor Richards,6%,33%,Walk; Betts to 2B
b6,2-4,1,12-,"6,(2-2) SBFBFC",O,BOS,Steve Pearce,Trevor Richards,-7%,26%,Strikeout Looking
b6,2-4,2,12-,"2,(0-1) FX",R,BOS,J.D. Martinez,Trevor Richards,13%,39%,Single to CF (Ground Ball thru SS-2B); Betts Scores; Benintendi to 2B
,,,,,,,,,Drew Rucinski replaces Trevor Richards pitching,Drew Rucinski replaces Trevor Richards pitching,Drew Rucinski replaces Trevor Richards pitching
b6,3-4,2,12-,"2,(0-1) .FX",O,BOS,Xander Bogaerts,Drew Rucinski,-8%,31%,Groundout: SS-2B/Forceout at 2B (SS-3B Hole)
,,,,,,,,,"1 run, 1 hit, 0 errors, 2 LOB. Marlins 4, Red Sox 3.","1 run, 1 hit, 0 errors, 2 LOB. Marlins 4, Red Sox 3.","1 run, 1 hit, 0 errors, 2 LOB. Marlins 4, Red Sox 3."
