Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3","Top of the 1st, Cubs Batting, Tied 0-0, Red Sox' Steven Wright facing 1-2-3"
"Top of the 4th, Cubs Batting, Behind 0-3, Red Sox' Steven Wright facing 2-3-4","Top of the 4th, Cubs Batting, Behind 0-3, Red Sox' Steven Wright facing 2-3-4","Top of the 4th, Cubs Batting, Behind 0-3, Red Sox' Steven Wright facing 2-3-4","Top of the 4th, Cubs Batting, Behind 0-3, Red Sox' Steven Wright facing 2-3-4","Top of the 4th, Cubs Batting, Behind 0-3, Red Sox' Steven Wright facing 2-3-4","Top of the 4th, Cubs Batting, Behind 0-3, Red Sox' Steven Wright facing 2-3-4","Top of the 4th, Cubs Batting, Behind 0-3, Red Sox' Steven Wright facing 2-3-4","Top of the 4th, Cubs Batting, Behind 0-3, Red Sox' Steven Wright facing 2-3-4","Top of the 4th, Cubs Batting, Behind 0-3, Red Sox' Steven Wright facing 2-3-4","Top of the 4th, Cubs Batting, Behind 0-3, Red Sox' Steven Wright facing 2-3-4","Top of the 4th, Cubs Batting, Behind 0-3, Red Sox' Steven Wright facing 2-3-4","Top of the 4th, Cubs Batting, Behind 0-3, Red Sox' Steven Wright facing 2-3-4"
t4,0-3,0,---,"4,(1-2) CSBX",,CHC,Kris Bryant,Steven Wright,6%,25%,Double to LF (Line Drive to Deep LF-CF)
t4,0-3,0,-2-,"3,(0-2) CFX",RR,CHC,Anthony Rizzo,Steven Wright,13%,38%,Home Run (Fly Ball to Deep RF); Bryant Scores
t4,2-3,0,---,"1,(0-0) X",O,CHC,Ben Zobrist,Steven Wright,-3%,35%,Groundout: 1B unassisted
t4,2-3,1,---,"5,(3-1) BBBCB",,CHC,Jason Heyward,Steven Wright,3%,39%,Walk
t4,2-3,1,1--,"3,(1-1) BS1X",O,CHC,Addison Russell,Steven Wright,-4%,35%,Flyball: RF
t4,2-3,2,1--,"6,(2-2) 11BBCCFX",O,CHC,Miguel Montero,Steven Wright,-3%,32%,Flyball: LF
,,,,,,,,,"2 runs, 2 hits, 0 errors, 1 LOB. Cubs 2, Red Sox 3.","2 runs, 2 hits, 0 errors, 1 LOB. Cubs 2, Red Sox 3.","2 runs, 2 hits, 0 errors, 1 LOB. Cubs 2, Red Sox 3."
"Bottom of the 4th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 6-7-8","Bottom of the 4th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 6-7-8"
b4,3-2,0,---,"3,(1-1) BCX",O,BOS,Dustin Pedroia,John Lackey,2%,34%,Groundout: SS-1B
b4,3-2,1,---,"3,(0-2) FCS",O,BOS,Jackie Bradley Jr.,John Lackey,2%,36%,Strikeout Swinging
b4,3-2,2,---,"4,(1-2) BCFX",,BOS,Christian Vazquez,John Lackey,-1%,35%,Single to CF (Line Drive to Deep CF)
b4,3-2,2,1--,"2,(0-1) CX",,BOS,Marco Hernandez,John Lackey,-3%,31%,Double to LF (Fly Ball); Vazquez to 3B
b4,3-2,2,-23,"5,(2-2) FFB*BS",O,BOS,Xander Bogaerts,John Lackey,6%,37%,Strikeout Swinging
,,,,,,,,,"0 runs, 2 hits, 0 errors, 2 LOB. Cubs 2, Red Sox 3.","0 runs, 2 hits, 0 errors, 2 LOB. Cubs 2, Red Sox 3.","0 runs, 2 hits, 0 errors, 2 LOB. Cubs 2, Red Sox 3."
"Top of the 5th, Cubs Batting, Behind 2-3, Red Sox' Steven Wright facing 8-9-1","Top of the 5th, Cubs Batting, Behind 2-3, Red Sox' Steven Wright facing 8-9-1","Top of the 5th, Cubs Batting, Behind 2-3, Red Sox' Steven Wright facing 8-9-1","Top of the 5th, Cubs Batting, Behind 2-3, Red Sox' Steven Wright facing 8-9-1","Top of the 5th, Cubs Batting, Behind 2-3, Red Sox' Steven Wright facing 8-9-1","Top of the 5th, Cubs Batting, Behind 2-3, Red Sox' Steven Wright facing 8-9-1","Top of the 5th, Cubs Batting, Behind 2-3, Red Sox' Steven Wright facing 8-9-1","Top of the 5th, Cubs Batting, Behind 2-3, Red Sox' Steven Wright facing 8-9-1","Top of the 5th, Cubs Batting, Behind 2-3, Red Sox' Steven Wright facing 8-9-1","Top of the 5th, Cubs Batting, Behind 2-3, Red Sox' Steven Wright facing 8-9-1","Top of the 5th, Cubs Batting, Behind 2-3, Red Sox' Steven Wright facing 8-9-1","Top of the 5th, Cubs Batting, Behind 2-3, Red Sox' Steven Wright facing 8-9-1"
t5,2-3,0,---,"2,(1-0) BX",O,CHC,Albert Almora,Steven Wright,-3%,34%,Groundout: 3B-1B
t5,2-3,1,---,"7,(1-2) CFFFBFX",O,CHC,Jon Jay,Steven Wright,-2%,31%,Lineout: CF (Deep CF)
t5,2-3,2,---,"5,(2-2) BCBFC",O,CHC,Kyle Schwarber,Steven Wright,-2%,30%,Strikeout Looking
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Cubs 2, Red Sox 3.","0 runs, 0 hits, 0 errors, 0 LOB. Cubs 2, Red Sox 3.","0 runs, 0 hits, 0 errors, 0 LOB. Cubs 2, Red Sox 3."
"Bottom of the 5th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 2-3-4","Bottom of the 5th, Red Sox Batting, Ahead 3-2, Cubs' John Lackey facing 2-3-4"
b5,3-2,0,---,"1,(0-0) X",R,BOS,Andrew Benintendi,John Lackey,-10%,20%,Home Run (Fly Ball to Deep CF-RF)
b5,4-2,0,---,"3,(0-2) FCS",O,BOS,Mookie Betts,John Lackey,2%,21%,Strikeout Swinging
b5,4-2,1,---,"3,(0-2) SCS",O,BOS,Hanley Ramirez,John Lackey,1%,22%,Strikeout Swinging
b5,4-2,2,---,"3,(0-2) FSX",O,BOS,Mitch Moreland,John Lackey,1%,23%,Groundout: 3B-1B (Deep 2B-1B)
,,,,,,,,,"1 run, 1 hit, 0 errors, 0 LOB. Cubs 2, Red Sox 4.","1 run, 1 hit, 0 errors, 0 LOB. Cubs 2, Red Sox 4.","1 run, 1 hit, 0 errors, 0 LOB. Cubs 2, Red Sox 4."
"Top of the 6th, Cubs Batting, Behind 2-4, Red Sox' Steven Wright facing 2-3-4","Top of the 6th, Cubs Batting, Behind 2-4, Red Sox' Steven Wright facing 2-3-4","Top of the 6th, Cubs Batting, Behind 2-4, Red Sox' Steven Wright facing 2-3-4","Top of the 6th, Cubs Batting, Behind 2-4, Red Sox' Steven Wright facing 2-3-4","Top of the 6th, Cubs Batting, Behind 2-4, Red Sox' Steven Wright facing 2-3-4","Top of the 6th, Cubs Batting, Behind 2-4, Red Sox' Steven Wright facing 2-3-4","Top of the 6th, Cubs Batting, Behind 2-4, Red Sox' Steven Wright facing 2-3-4","Top of the 6th, Cubs Batting, Behind 2-4, Red Sox' Steven Wright facing 2-3-4","Top of the 6th, Cubs Batting, Behind 2-4, Red Sox' Steven Wright facing 2-3-4","Top of the 6th, Cubs Batting, Behind 2-4, Red Sox' Steven Wright facing 2-3-4","Top of the 6th, Cubs Batting, Behind 2-4, Red Sox' Steven Wright facing 2-3-4","Top of the 6th, Cubs Batting, Behind 2-4, Red Sox' Steven Wright facing 2-3-4"
t6,2-4,0,---,"3,(1-1) BFX",,CHC,Kris Bryant,Steven Wright,8%,31%,Double to LF (Line Drive to Deep LF Line)
t6,2-4,0,-2-,"1,(0-0) C",,CHC,Anthony Rizzo,Steven Wright,3%,34%,Passed Ball; Bryant to 3B
t6,2-4,0,--3,"3,(0-2) C.FX",O,CHC,Anthony Rizzo,Steven Wright,-6%,28%,Flyball: LF (LF Line)
t6,2-4,1,--3,"2,(0-1) CX",RO,CHC,Ben Zobrist,Steven Wright,0%,28%,Groundout: 2B-1B (Deep 2B-1B); Bryant Scores
t6,3-4,2,---,"5,(2-2) SFBBX",,CHC,Jason Heyward,Steven Wright,2%,30%,Single to CF (Line Drive to Deep CF)
t6,3-4,2,1--,"6,(3-2) BBCBC>X",O,CHC,Addison Russell,Steven Wright,-4%,27%,Groundout: 3B-1B
,,,,,,,,,"1 run, 2 hits, 0 errors, 1 LOB. Cubs 3, Red Sox 4.","1 run, 2 hits, 0 errors, 1 LOB. Cubs 3, Red Sox 4.","1 run, 2 hits, 0 errors, 1 LOB. Cubs 3, Red Sox 4."
