Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3","Top of the 1st, Rangers Batting, Tied 0-0, Red Sox' Darwinzon Hernandez facing 1-2-3"
b3,1-3,2,12-,"3,(0-2) CSX",RR,BOS,Rafael Devers,Ariel Jurado,-21%,46%,Triple to CF (Line Drive to Deep CF); Benintendi Scores; Martinez Scores
b3,3-3,2,--3,"4,(1-2) BCFC",O,BOS,Xander Bogaerts,Ariel Jurado,4%,50%,Strikeout Looking
,,,,,,,,,"2 runs, 1 hit, 0 errors, 1 LOB. Rangers 3, Red Sox 3.","2 runs, 1 hit, 0 errors, 1 LOB. Rangers 3, Red Sox 3.","2 runs, 1 hit, 0 errors, 1 LOB. Rangers 3, Red Sox 3."
"Top of the 4th, Rangers Batting, Tied 3-3, Red Sox' Darwinzon Hernandez facing 8-9-1","Top of the 4th, Rangers Batting, Tied 3-3, Red Sox' Darwinzon Hernandez facing 8-9-1","Top of the 4th, Rangers Batting, Tied 3-3, Red Sox' Darwinzon Hernandez facing 8-9-1","Top of the 4th, Rangers Batting, Tied 3-3, Red Sox' Darwinzon Hernandez facing 8-9-1","Top of the 4th, Rangers Batting, Tied 3-3, Red Sox' Darwinzon Hernandez facing 8-9-1","Top of the 4th, Rangers Batting, Tied 3-3, Red Sox' Darwinzon Hernandez facing 8-9-1","Top of the 4th, Rangers Batting, Tied 3-3, Red Sox' Darwinzon Hernandez facing 8-9-1","Top of the 4th, Rangers Batting, Tied 3-3, Red Sox' Darwinzon Hernandez facing 8-9-1","Top of the 4th, Rangers Batting, Tied 3-3, Red Sox' Darwinzon Hernandez facing 8-9-1","Top of the 4th, Rangers Batting, Tied 3-3, Red Sox' Darwinzon Hernandez facing 8-9-1","Top of the 4th, Rangers Batting, Tied 3-3, Red Sox' Darwinzon Hernandez facing 8-9-1","Top of the 4th, Rangers Batting, Tied 3-3, Red Sox' Darwinzon Hernandez facing 8-9-1"
t4,3-3,0,---,"5,(3-1) BFBBX",,TEX,Ronald Guzman,Darwinzon Hernandez,4%,54%,Reached on E5 (Pop Fly to Weak 3B)
t4,3-3,0,1--,"6,(3-2) 11BCBBFX",,TEX,Tim Federowicz,Darwinzon Hernandez,6%,60%,Single to CF (Line Drive); Guzman to 2B
,,,,,,,,,Colten Brewer replaces Darwinzon Hernandez pitching,Colten Brewer replaces Darwinzon Hernandez pitching,Colten Brewer replaces Darwinzon Hernandez pitching
t4,3-3,0,12-,"6,(3-2) .BBBCFB",,TEX,Shin-Soo Choo,Colten Brewer,8%,68%,Walk; Guzman to 3B; Federowicz to 2B
t4,3-3,0,123,"2,(1-0) BX",RO,TEX,Danny Santana,Colten Brewer,-3%,65%,Flyball: LF/Sacrifice Fly (Deep LF-CF); Guzman Scores/unER
t4,4-3,1,12-,"3,(0-2) CFS",O,TEX,Elvis Andrus,Colten Brewer,-5%,60%,Strikeout Swinging
t4,4-3,2,12-,"5,(2-2) FC*BBS",O,TEX,Nomar Mazara,Colten Brewer,-5%,56%,Strikeout Swinging
,,,,,,,,,"1 run, 1 hit, 1 error, 2 LOB. Rangers 4, Red Sox 3.","1 run, 1 hit, 1 error, 2 LOB. Rangers 4, Red Sox 3.","1 run, 1 hit, 1 error, 2 LOB. Rangers 4, Red Sox 3."
"Bottom of the 4th, Red Sox Batting, Behind 3-4, Rangers' Ariel Jurado facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 3-4, Rangers' Ariel Jurado facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 3-4, Rangers' Ariel Jurado facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 3-4, Rangers' Ariel Jurado facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 3-4, Rangers' Ariel Jurado facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 3-4, Rangers' Ariel Jurado facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 3-4, Rangers' Ariel Jurado facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 3-4, Rangers' Ariel Jurado facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 3-4, Rangers' Ariel Jurado facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 3-4, Rangers' Ariel Jurado facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 3-4, Rangers' Ariel Jurado facing 6-7-8","Bottom of the 4th, Red Sox Batting, Behind 3-4, Rangers' Ariel Jurado facing 6-7-8"
b4,3-4,0,---,"3,(1-1) CBX",O,BOS,Brock Holt,Ariel Jurado,3%,59%,Groundout: 1B unassisted
b4,3-4,1,---,"4,(1-2) CFBX",,BOS,Christian Vazquez,Ariel Jurado,-3%,56%,Single to CF (Ground Ball thru SS-2B)
b4,3-4,1,1--,"1,(0-0) X",O,BOS,Marco Hernandez,Ariel Jurado,4%,59%,Groundout: SS-2B/Forceout at 2B
b4,3-4,2,1--,"4,(1-2) FS*BC",O,BOS,Michael Chavis,Ariel Jurado,3%,63%,Strikeout Looking
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Rangers 4, Red Sox 3.","0 runs, 1 hit, 0 errors, 1 LOB. Rangers 4, Red Sox 3.","0 runs, 1 hit, 0 errors, 1 LOB. Rangers 4, Red Sox 3."
"Top of the 5th, Rangers Batting, Ahead 4-3, Red Sox' Bobby Poyner facing 5-6-7","Top of the 5th, Rangers Batting, Ahead 4-3, Red Sox' Bobby Poyner facing 5-6-7","Top of the 5th, Rangers Batting, Ahead 4-3, Red Sox' Bobby Poyner facing 5-6-7","Top of the 5th, Rangers Batting, Ahead 4-3, Red Sox' Bobby Poyner facing 5-6-7","Top of the 5th, Rangers Batting, Ahead 4-3, Red Sox' Bobby Poyner facing 5-6-7","Top of the 5th, Rangers Batting, Ahead 4-3, Red Sox' Bobby Poyner facing 5-6-7","Top of the 5th, Rangers Batting, Ahead 4-3, Red Sox' Bobby Poyner facing 5-6-7","Top of the 5th, Rangers Batting, Ahead 4-3, Red Sox' Bobby Poyner facing 5-6-7","Top of the 5th, Rangers Batting, Ahead 4-3, Red Sox' Bobby Poyner facing 5-6-7","Top of the 5th, Rangers Batting, Ahead 4-3, Red Sox' Bobby Poyner facing 5-6-7","Top of the 5th, Rangers Batting, Ahead 4-3, Red Sox' Bobby Poyner facing 5-6-7","Top of the 5th, Rangers Batting, Ahead 4-3, Red Sox' Bobby Poyner facing 5-6-7"
,,,,,,,,,Bobby Poyner replaces Colten Brewer pitching,Bobby Poyner replaces Colten Brewer pitching,Bobby Poyner replaces Colten Brewer pitching
t5,4-3,0,---,"6,(3-2) .CBFBBB",,TEX,Hunter Pence,Bobby Poyner,4%,66%,Walk
t5,4-3,0,1--,"2,(1-0) BX",O,TEX,Asdrubal Cabrera,Bobby Poyner,-4%,63%,Flyball: RF (Deep 2B-1B)
t5,4-3,1,1--,"7,(3-2) B1SFBFBB",,TEX,Rougned Odor,Bobby Poyner,4%,66%,Walk; Pence to 2B
t5,4-3,1,12-,"2,(1-0) *BX",RR,TEX,Ronald Guzman,Bobby Poyner,17%,83%,Double to CF (Fly Ball to Deep LF-CF); Pence Scores; Odor Scores
t5,6-3,1,-2-,"7,(2-2) CBCBFFS",O,TEX,Tim Federowicz,Bobby Poyner,-2%,81%,Strikeout Swinging
t5,6-3,2,-2-,"1,(0-0) X",O,TEX,Shin-Soo Choo,Bobby Poyner,-2%,79%,Fielder's Choice 3B; Guzman out at 3B/3B-SS
,,,,,,,,,"2 runs, 1 hit, 0 errors, 1 LOB. Rangers 6, Red Sox 3.","2 runs, 1 hit, 0 errors, 1 LOB. Rangers 6, Red Sox 3.","2 runs, 1 hit, 0 errors, 1 LOB. Rangers 6, Red Sox 3."
"Bottom of the 5th, Red Sox Batting, Behind 3-6, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 3-6, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 3-6, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 3-6, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 3-6, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 3-6, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 3-6, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 3-6, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 3-6, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 3-6, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 3-6, Rangers' Ariel Jurado facing 1-2-3","Bottom of the 5th, Red Sox Batting, Behind 3-6, Rangers' Ariel Jurado facing 1-2-3"
b5,3-6,0,---,"3,(1-1) CBX",O,BOS,Mookie Betts,Ariel Jurado,3%,81%,Flyball: CF (Deep CF)
b5,3-6,1,---,"2,(0-1) CX",O,BOS,Andrew Benintendi,Ariel Jurado,2%,83%,Groundout: SS-1B
b5,3-6,2,---,"4,(1-2) FSBX",,BOS,J.D. Martinez,Ariel Jurado,-2%,81%,Double to RF (Line Drive to Deep CF-RF)
b5,3-6,2,-2-,"2,(1-0) BX",O,BOS,Rafael Devers,Ariel Jurado,4%,85%,Lineout: SS (SS-2B)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Rangers 6, Red Sox 3.","0 runs, 1 hit, 0 errors, 1 LOB. Rangers 6, Red Sox 3.","0 runs, 1 hit, 0 errors, 1 LOB. Rangers 6, Red Sox 3."
