Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
107,Jhoulys Chacín,26,COL,11,11,0,63.1,13,2,10,1,1,.923,,,1,3,0,1.71,1.09,P
108,Andrew Chafin,24,ARI,3,3,0,14.0,2,0,2,0,0,1.000,,,0,0,0,1.29,0.67,P
109,Aroldis Chapman,26,CIN,54,0,0,54.0,3,1,2,0,0,1.000,,,0,0,0,0.50,0.06,P
110,Tyler Chatwood,24,COL,4,4,0,24.0,2,0,1,1,0,.500,,,-1,-8,0,0.38,0.25,P
111,Eric Chavez,36,ARI,11,8,8,82.0,15,5,10,0,2,1.000,-2,-26,-1,-15,1,1.65,1.36,3B
112,Randy Choate,38,STL,61,0,0,36.0,9,1,7,1,0,.889,,,-1,-6,0,2.00,0.13,P
113,Nick Christiani,26,CIN,10,0,0,13.0,2,1,0,1,0,.500,,,0,0,0,0.69,0.10,P
114,Tony Cingrani,24,CIN,13,11,0,63.1,4,0,3,1,0,.750,,,0,0,0,0.43,0.23,P
115,Steve Cishek,28,MIA,67,0,0,65.1,9,2,5,2,0,.778,,,-2,-6,0,0.96,0.10,P
116,Matt Clark,27,MIL,9,7,2,54.0,55,51,3,1,5,.982,0,-9,0,0,0,9.00,6.00,1B
117,Tyler Clippard,29,WSN,75,0,0,70.1,8,1,7,0,1,1.000,,,2,6,0,1.02,0.11,P
118,Chris Coghlan,29,CHC,103,92,79,829.1,180,171,5,4,2,.978,-9,-12,-11,-15,1,1.91,1.71,OF
119,Gerrit Cole,23,PIT,22,22,0,138.0,33,7,24,2,1,.939,,,0,0,0,2.02,1.41,P
120,Josh Collmenter,28,ARI,33,28,1,179.1,36,13,23,0,1,1.000,,,3,3,0,1.81,1.09,P
121,Bartolo Colón,41,NYM,31,31,0,202.1,43,11,27,5,2,.884,,,2,2,0,1.69,1.23,P
122,Tyler Colvin,28,SFG,44,31,25,310.0,55,52,2,1,1,.982,-1,-2,-1,-3,0,1.57,1.23,OF
123,Brooks Conrad,34,SDP,10,9,5,69.0,32,17,15,0,5,1.000,-1,-10,-2,-35,-1,4.17,3.20,2B
124,José Constanza,30,ATL,3,0,0,5.0,2,2,0,0,0,1.000,0,72,-1,-240,0,3.60,0.67,OF
125,Carlos Contreras,23,CIN,17,0,0,19.1,2,2,0,0,0,1.000,,,0,0,0,0.93,0.12,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
126,Daniel Corcino,23,CIN,5,3,0,18.2,7,4,3,0,0,1.000,,,1,11,0,3.38,1.40,P
127,Erik Cordier,28,SFG,7,0,0,6.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
128,Kevin Correia,33,LAD,9,3,0,24.2,8,4,4,0,0,1.000,,,1,8,0,2.92,0.89,P
129,Jarred Cosart,24,MIA,10,10,0,64.0,16,7,9,0,2,1.000,,,-1,-3,0,2.25,1.60,P
130,Danny Coulombe,24,LAD,5,0,0,4.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
131,Zack Cozart,28,CIN,147,143,138,1274.1,614,204,400,10,73,.984,16,15,16,15,0,4.27,4.11,SS
132,Allen Craig,29,STL,96,94,72,815.1,333,315,18,0,13,1.000,-1,-2,2,2,-1,3.68,3.40,OF-1B
133,Brandon Crawford,27,SFG,149,142,137,1273.0,634,185,428,21,85,.967,15,14,9,8,0,4.33,4.11,SS
134,Carl Crawford,32,LAD,94,80,67,736.0,136,132,1,3,0,.978,-1,-2,1,1,-1,1.63,1.41,OF
135,Tony Cruz,27,STL,49,35,30,332.0,296,279,16,1,2,.997,0,1,-8,-29,0,8.00,5.90,C-1B-3B
136,Michael Cuddyer,35,COL,48,48,35,389.2,166,149,16,1,7,.994,-5,-14,-1,-3,1,3.81,3.17,OF-1B-3B
137,Johnny Cueto,28,CIN,34,34,4,243.2,63,21,39,3,0,.952,,,6,5,0,2.22,1.76,P
138,Charlie Culberson,25,COL,74,48,33,475.0,259,105,150,4,32,.985,2,5,-5,-13,-1,4.83,3.23,3B-SS-2B-1B
139,Brandon Cumpton,25,PIT,16,10,0,70.0,12,4,8,0,1,1.000,,,1,3,0,1.54,0.75,P
140,Chase d'Arnaud,27,PIT,1,0,0,0.2,0,0,0,0,0,,0,0,0,0,,0.00,0.00,SS
141,Travis d'Arnaud,25,NYM,105,103,95,909.0,876,829,38,9,2,.990,-9,-12,-7,-9,-4,8.58,8.26,C
142,Ike Davis,27,TOT,124,99,60,861.0,1022,953,60,9,83,.991,3,4,-1,-1,-2,10.59,8.17,1B
143,Khris Davis,26,MIL,134,131,112,1156.1,257,252,2,3,2,.988,13,13,1,1,-1,1.98,1.90,OF
144,Justin De Fratus,26,PHI,54,0,0,52.2,5,1,2,2,0,.600,,,-3,-11,0,0.51,0.06,P
145,Eury De La Rosa,24,ARI,25,0,0,36.2,6,0,6,0,1,1.000,,,0,0,0,1.47,0.24,P
146,Jorge De La Rosa,33,COL,32,32,0,184.1,31,4,25,2,1,.935,,,0,0,0,1.42,0.91,P
147,Jaff Decker,24,PIT,2,0,0,3.0,0,0,0,0,0,,0,0,0,0,,0.00,0.00,OF
148,Jacob deGrom,26,NYM,22,22,0,140.1,26,6,20,0,4,1.000,,,0,0,-1,1.67,1.18,P
149,Randall Delgado,24,ARI,47,4,0,77.2,16,4,11,1,0,.938,,,-2,-5,0,1.74,0.32,P
150,Matt den Dekker,26,NYM,45,41,30,360.0,74,69,4,1,0,.986,1,3,4,13,2,1.83,1.62,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
151,Ryan Dennick,27,CIN,8,0,0,4.2,1,0,1,0,0,1.000,,,0,0,0,1.93,0.13,P
152,Chris Denorfia,33,SDP,73,53,29,506.2,141,138,2,1,0,.993,6,13,3,7,0,2.49,1.92,OF
153,Daniel Descalso,27,STL,55,30,25,302.2,153,64,85,4,21,.974,-2,-7,-5,-20,0,4.43,2.53,2B-SS-3B-1B-P
154,Anthony DeSclafani,24,MIA,13,5,0,33.0,3,1,2,0,0,1.000,,,-2,-12,0,0.82,0.23,P
155,Ian Desmond,28,WSN,154,154,146,1377.2,643,203,416,24,82,.963,3,3,4,3,-2,4.04,4.02,SS
156,Odrisamer Despaigne,27,SDP,16,16,0,96.1,27,7,17,3,0,.889,,,0,0,0,2.24,1.50,P
157,Ross Detwiler,28,WSN,47,0,0,63.0,14,4,10,0,1,1.000,,,-2,-6,0,2.00,0.30,P
158,Jumbo Díaz,30,CIN,36,0,0,34.2,2,1,1,0,0,1.000,,,0,0,0,0.52,0.06,P
159,Corey Dickerson,25,COL,105,98,82,870.0,177,171,2,4,0,.977,2,2,-5,-6,-1,1.79,1.65,OF
160,Jake Diekman,27,PHI,73,0,0,71.0,12,3,9,0,0,1.000,,,-2,-6,-1,1.52,0.16,P
161,Derek Dietrich,24,MIA,44,43,32,361.1,203,58,134,11,24,.946,-6,-21,-4,-13,-1,4.78,4.27,2B-3B
162,Greg Dobbs,35,WSN,3,3,2,30.0,34,31,3,0,3,1.000,0,-8,0,0,0,10.20,11.33,1B
163,Chris Dominguez,27,SFG,5,4,3,36.0,12,12,0,0,0,1.000,1,37,0,0,0,3.00,2.00,OF-3B
164,José Domínguez,23,LAD,5,0,0,6.1,2,1,1,0,0,1.000,,,0,0,0,2.84,0.40,P
165,Félix Doubront,26,CHC,4,4,0,20.1,6,3,3,0,0,1.000,,,0,0,0,2.66,1.50,P
166,Ryan Doumit,33,ATL,20,17,9,144.0,56,54,1,1,1,.982,0,-1,-2,-16,0,3.44,2.75,OF-C
167,Lucas Duda,28,NYM,146,136,129,1228.0,1198,1109,82,7,125,.994,-2,-2,5,4,2,8.73,8.10,1B-OF
168,Matt Duffy,23,SFG,17,10,8,104.0,57,24,31,2,8,.965,-3,-29,-2,-23,0,4.76,3.06,SS-2B-3B
169,Zach Duke,31,MIL,74,0,0,58.2,12,2,10,0,1,1.000,,,1,3,0,1.84,0.16,P
170,Mike Dunn,29,MIA,75,0,0,57.0,9,2,6,1,0,.889,,,-1,-4,0,1.26,0.11,P
171,Jake Dunning,25,SFG,1,0,0,0.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P
172,Adam Duvall,25,SFG,22,17,10,150.1,158,149,8,1,13,.994,0,-3,-1,-8,1,9.40,7.14,1B-3B
173,Sam Dyson,26,MIA,31,0,0,42.0,13,7,4,2,0,.846,,,-4,-19,0,2.36,0.35,P
174,Josh Edgin,27,NYM,47,0,0,27.1,3,1,1,1,0,.667,,,-1,-7,0,0.66,0.04,P
