Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
121,Jason Davis,22,CLE,3,2,0,14.2,6,2,4,0,0,1.000,,,3.68,2.00,P
122,Luis de los Santos,24,TBD,3,3,0,14.0,5,2,2,1,0,.800,,,2.57,1.33,P
123,Carlos Delgado,30,TOR,140,140,130,1229.0,1339,1232,95,12,121,.991,4,4,9.72,9.48,1B
124,Sean DePaula,28,CLE,5,0,0,6.1,2,2,0,0,0,1.000,,,2.84,0.40,P
125,Einar Díaz,29,CLE,100,97,90,833.1,723,640,75,8,4,.989,-2,-3,7.72,7.15,C
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
126,Juan Díaz,28,BOS,1,1,0,6.0,8,8,0,0,0,1.000,0,-80,12.00,8.00,1B
127,Brendan Donnelly,30,ANA,46,0,0,49.2,6,3,3,0,0,1.000,,,1.09,0.13,P
128,Sean Douglass,23,BAL,15,8,0,53.1,11,3,8,0,2,1.000,,,1.86,0.73,P
129,Ryan Drese,26,CLE,26,26,1,137.1,38,11,25,2,2,.947,,,2.36,1.38,P
130,Travis Driskill,30,BAL,29,19,0,132.2,20,7,13,0,1,1.000,,,1.36,0.69,P
131,Eric DuBose,26,BAL,4,0,0,6.0,1,0,1,0,0,1.000,,,1.50,0.25,P
132,Todd Dunwoody,27,CLE,2,2,1,13.2,1,1,0,0,0,1.000,-2,-132,0.66,0.50,OF
133,Chad Durbin,24,KCR,2,2,0,8.1,3,1,1,1,0,.667,,,2.16,1.00,P
134,Ray Durham,30,TOT,103,103,97,884.2,524,209,298,17,73,.968,-1,-1,5.16,4.92,2B
135,Jermaine Dye,28,OAK,111,109,92,956.1,178,171,2,5,1,.972,-8,-10,1.63,1.56,OF
136,Damion Easley,32,DET,84,84,79,732.1,443,181,253,9,54,.980,-3,-4,5.33,5.17,2B
137,Eric Eckenstahler,25,DET,7,0,0,8.0,1,1,0,0,0,1.000,,,1.13,0.14,P
138,David Eckstein,27,ANA,147,146,132,1276.1,616,205,397,14,91,.977,10,9,4.24,4.10,SS
139,Dave Elder,26,CLE,15,0,0,23.0,4,3,1,0,0,1.000,,,1.57,0.27,P
140,Mark Ellis,25,OAK,95,91,82,814.2,454,180,263,11,52,.976,5,7,4.89,4.43,2B-3B-SS
141,Alan Embree,32,BOS,32,0,0,33.1,6,1,5,0,0,1.000,,,1.62,0.19,P
142,Scott Erickson,34,BAL,29,28,3,160.2,39,14,22,3,2,.923,,,2.02,1.24,P
143,Darin Erstad,28,ANA,143,142,123,1237.1,473,461,11,1,5,.998,39,38,3.43,3.19,OF-1B
144,Félix Escalona,23,TBD,55,40,35,392.1,213,75,127,11,29,.948,-3,-9,4.63,3.67,2B-SS-3B
145,Kelvim Escobar,26,TOR,76,0,0,78.0,10,1,9,0,0,1.000,,,1.15,0.13,P
146,Carl Everett,31,TEX,83,80,62,694.0,162,157,0,5,0,.969,-11,-18,2.04,1.89,OF
147,Scott Eyre,30,TOR,49,3,0,63.1,12,3,9,0,0,1.000,,,1.71,0.24,P
148,Jorge Fábregas,32,ANA,32,23,18,214.0,165,156,8,1,1,.994,0,0,6.90,5.13,C
149,Jeff Farnsworth,26,DET,44,0,0,70.0,16,6,8,2,0,.875,,,1.80,0.32,P
150,Sal Fasano,30,ANA,2,0,0,7.0,12,10,2,0,0,1.000,1,171,15.43,6.00,C
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
151,Carlos Febles,26,KCR,117,103,94,919.0,520,193,312,15,76,.971,3,4,4.95,4.32,2B-SS
152,Robert Fick,28,DET,140,139,131,1202.2,321,288,21,12,5,.963,-2,-2,2.31,2.21,OF
153,Nate Field,26,KCR,5,0,0,5.0,1,1,0,0,0,1.000,,,1.80,0.20,P
154,Chone Figgins,24,ANA,8,1,1,29.0,17,7,9,1,2,.941,-1,-29,4.97,2.00,2B
155,Bob File,25,TOR,5,0,0,3.1,0,0,0,0,0,,,,0.00,0.00,P
156,Chuck Finley,39,CLE,18,18,1,105.1,22,3,16,3,2,.864,,,1.62,1.06,P
157,Tony Fiore,30,MIN,48,2,0,91.0,18,4,14,0,1,1.000,,,1.78,0.38,P
158,Brian Fitzgerald,27,SEA,6,0,0,6.1,2,0,1,1,0,.500,,,1.42,0.17,P
