Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
201,Aaron Fultz,26,SFG,58,0,0,69.1,22,5,17,0,2,1.000,,,2.86,0.38,P
202,Rafael Furcal,22,ATL,129,118,101,1062.1,578,192,362,24,72,.958,6,7,4.69,3.93,SS-2B
203,Éric Gagné,24,LAD,20,19,0,101.1,14,6,8,0,1,1.000,,,1.24,0.70,P
204,Andrés Galarraga,39,ATL,132,122,106,1078.0,1180,1105,61,14,98,.988,-9,-10,9.73,8.83,1B
205,Ron Gant,35,PHI,84,84,69,726.1,185,175,4,6,0,.968,8,14,2.22,2.13,OF
206,Mike Garcia,32,PIT,13,0,0,11.1,1,0,1,0,0,1.000,,,0.79,0.08,P
207,Mark Gardner,38,SFG,30,20,0,149.0,16,5,10,1,1,.938,,,0.91,0.50,P
208,Daniel Garibay,27,CHC,30,8,0,74.2,27,8,19,0,0,1.000,,,3.25,0.90,P
209,Shawn Gilbert,35,LAD,14,5,3,49.0,17,15,1,1,1,.941,0,-5,2.94,1.14,OF
210,Brian Giles,29,PIT,155,154,137,1351.2,336,316,14,6,1,.982,-3,-2,2.20,2.13,OF
211,Bernard Gilkey,33,ARI,17,15,9,127.2,30,29,1,0,0,1.000,1,12,2.11,1.76,OF
212,Keith Ginter,24,HOU,2,2,2,18.0,9,4,5,0,2,1.000,-1,-33,4.50,4.50,2B
213,Joe Girardi,35,CHC,103,97,88,873.0,754,706,43,5,5,.993,6,8,7.72,7.27,C
214,Doug Glanville,29,PHI,150,145,138,1275.1,393,380,9,4,4,.990,2,2,2.75,2.59,OF
215,Keith Glauber,28,CIN,4,0,0,7.1,1,1,0,0,1,1.000,,,1.23,0.25,P
216,Tom Glavine,34,ATL,35,35,4,241.0,52,11,41,0,5,1.000,,,1.94,1.49,P
217,Ross Gload,24,CHC,10,7,2,53.2,15,15,0,0,2,1.000,-2,-42,2.52,1.50,OF-1B
218,Wayne Gomes,27,PHI,65,0,0,73.2,9,2,6,1,0,.889,,,0.98,0.12,P
219,Chris Gomez,29,SDP,20,13,9,125.2,75,27,43,5,12,.933,-2,-14,5.01,3.50,SS-2B
220,Álex González,23,FLA,104,98,87,855.2,446,139,288,19,63,.957,-4,-6,4.49,4.11,SS
221,Luis Gonzalez,32,ARI,162,162,153,1430.2,300,293,4,3,1,.990,5,4,1.87,1.83,OF
222,Raúl González,26,CHC,2,0,0,3.0,0,0,0,0,0,,0,-120,0.00,0.00,OF
223,Wiki González,26,SDP,87,72,64,680.2,572,525,42,5,13,.991,3,5,7.50,6.52,C
224,Dwight Gooden,35,HOU,1,1,0,4.0,1,0,1,0,0,1.000,,,2.25,1.00,P
225,Tom Goodwin,31,TOT,143,126,120,1138.0,354,346,5,3,3,.992,13,14,2.78,2.45,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
226,Mark Grace,36,CHC,140,136,127,1216.1,1205,1098,103,4,99,.997,12,12,8.89,8.58,1B
227,Danny Graves,26,CIN,66,0,0,91.1,30,5,24,1,4,.967,,,2.86,0.44,P
228,Jason Green,25,HOU,14,0,0,17.2,4,0,2,2,0,.500,,,1.02,0.14,P
229,Shawn Green,27,LAD,161,161,154,1426.0,295,280,9,6,3,.980,-1,-1,1.82,1.80,OF
230,Willie Greene,28,CHC,90,77,54,686.0,211,46,158,7,18,.967,8,14,2.68,2.27,3B
231,Ken Griffey Jr.,30,CIN,141,141,126,1227.1,389,375,9,5,3,.987,11,11,2.82,2.72,OF
232,Jason Grilli,23,FLA,1,1,0,6.2,1,0,1,0,0,1.000,,,1.35,1.00,P
233,Marquis Grissom,33,MIL,142,141,133,1258.2,358,352,3,3,1,.992,-6,-5,2.54,2.50,OF
234,Kip Gross,35,HOU,2,1,0,4.1,1,0,0,1,0,.000,,,0.00,0.00,P
235,Mark Grudzielanek,30,LAD,148,146,138,1292.2,721,288,416,17,98,.976,-3,-3,4.90,4.72,2B-SS
236,Vladimir Guerrero,25,MON,151,151,119,1268.0,321,299,12,10,3,.969,4,3,2.21,2.06,OF
237,Wilton Guerrero,25,MON,76,53,26,447.2,123,115,4,4,1,.967,-1,-1,2.39,1.57,OF-2B
