Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
109,Fabio Castro,21,PHI,16,0,0,23.1,5,0,4,1,1,.800,,,0,0,0,1.54,0.25,P
110,Juan Castro,34,CIN,45,19,17,211.2,88,27,60,1,13,.989,1,5,8,47,1,3.70,1.81,SS-3B-2B
111,Ramón Castro,30,NYM,37,32,32,307.1,284,267,16,1,3,.996,4,16,2,9,0,8.29,7.65,C
112,Ronny Cedeño,23,CHC,147,144,132,1256.1,602,183,394,25,71,.958,-4,-4,-1,-1,-2,4.13,3.87,SS-2B
113,Matthew Cepicky,28,FLA,6,4,1,33.0,8,8,0,0,0,1.000,1,22,0,0,0,2.18,1.33,OF
114,Shawn Chacón,28,PIT,9,9,0,46.0,8,1,6,1,1,.875,,,1,4,0,1.37,0.78,P
115,Endy Chávez,28,NYM,120,79,73,815.1,218,209,9,0,3,1.000,14,21,12,17,2,2.41,1.82,OF
116,Randy Choate,30,ARI,30,0,0,16.0,5,0,5,0,1,1.000,,,1,13,0,2.81,0.17,P
117,Vinnie Chulk,27,SFG,28,0,0,22.1,4,2,2,0,0,1.000,,,0,0,0,1.61,0.14,P
118,Ryan Church,27,WSN,62,52,40,470.2,148,144,2,2,1,.986,0,0,-4,-10,0,2.79,2.35,OF
119,Jeff Cirillo,36,MIL,65,52,44,483.0,266,161,103,2,23,.992,8,21,2,5,1,4.92,3.77,3B-1B-2B-SS
120,Brady Clark,33,MIL,119,106,94,936.0,263,257,2,4,0,.985,2,2,4,5,-2,2.49,2.18,OF
121,Tony Clark,34,ARI,53,23,23,256.1,297,274,21,2,27,.993,-2,-7,-4,-18,0,10.36,5.57,1B
122,Brandon Claussen,27,CIN,14,14,0,77.0,21,7,14,0,2,1.000,,,-1,-3,0,2.45,1.50,P
123,Royce Clayton,36,TOT,129,121,106,1055.0,528,170,340,18,54,.966,-8,-9,-10,-11,1,4.35,3.95,SS
124,Roger Clemens,43,HOU,19,19,0,113.1,20,4,15,1,3,.950,,,-1,-2,0,1.51,1.00,P
125,JD Closser,26,COL,29,27,26,239.2,188,173,13,2,3,.989,2,10,2,12,1,6.98,6.41,C
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
126,Buck Coats,24,CHC,4,1,1,12.1,3,3,0,0,0,1.000,0,-19,2,200,0,2.19,0.75,OF
127,Todd Coffey,25,CIN,81,0,0,78.0,9,2,7,0,0,1.000,,,0,0,0,1.04,0.11,P
128,Alvin Colina,24,COL,1,1,1,9.0,8,8,0,0,0,1.000,0,0,0,0,0,8.00,8.00,C
129,Clay Condrey,30,PHI,21,0,0,28.2,6,2,4,0,0,1.000,,,1,7,0,1.88,0.29,P
