Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
157,Tony Fiore,29,TOT,7,0,0,9.2,3,2,1,0,0,1.000,,,2.79,0.43,P
158,John Flaherty,33,TBD,78,69,67,617.1,493,458,28,7,4,.986,-9,-17,7.09,6.23,C
159,Darrin Fletcher,34,TOR,129,114,93,1021.0,765,720,41,4,8,.995,5,6,6.71,5.90,C
160,Bryce Florie,31,BOS,7,0,0,8.2,2,1,1,0,0,1.000,,,2.08,0.29,P
161,Josh Fogg,24,CHW,11,0,0,13.1,2,1,1,0,0,1.000,,,1.35,0.18,P
162,Brook Fordyce,31,BAL,95,89,74,768.2,581,541,30,10,7,.983,-6,-9,6.69,6.01,C
163,Casey Fossum,23,BOS,13,7,0,44.1,4,3,1,0,0,1.000,,,0.81,0.31,P
164,Kevin Foster,32,TEX,9,0,0,17.2,0,0,0,0,0,,,,0.00,0.00,P
165,Kris Foster,26,BAL,7,0,0,10.0,4,0,4,0,0,1.000,,,3.60,0.57,P
166,Keith Foulke,28,CHW,72,0,0,81.0,18,7,11,0,0,1.000,,,2.00,0.25,P
167,Ryan Franklin,28,SEA,38,0,0,78.1,14,8,6,0,0,1.000,,,1.61,0.37,P
168,John Frascatore,31,TOR,12,0,0,16.1,6,1,5,0,0,1.000,,,3.31,0.50,P
169,Ryan Freel,25,TOR,7,6,3,50.0,32,11,20,1,4,.969,0,2,5.58,3.88,2B-OF
170,Jeff Frye,34,TOR,70,47,34,476.2,237,90,146,1,32,.996,-2,-6,4.46,3.06,2B-3B-SS-OF
171,Travis Fryman,32,CLE,96,94,78,793.0,217,66,139,12,15,.945,-12,-18,2.33,2.11,3B-SS
172,Brian Fuentes,25,SEA,10,0,0,11.2,4,1,3,0,0,1.000,,,3.09,0.40,P
173,Brad Fullmer,26,TOR,1,1,1,8.0,13,12,1,0,1,1.000,0,60,14.63,13.00,1B
174,Mike Fyhrie,31,OAK,3,0,0,5.0,0,0,0,0,0,,,,0.00,0.00,P
175,Andrés Galarraga,40,TEX,25,25,25,220.0,212,195,16,1,26,.995,0,0,8.63,8.44,1B
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
176,Ron Gant,36,OAK,11,8,6,73.0,4,4,0,0,0,1.000,-3,-51,0.49,0.36,OF
177,Rich Garcés,30,BOS,62,0,0,67.0,18,7,11,0,2,1.000,,,2.42,0.29,P
178,Freddy García,24,SEA,34,34,4,238.2,69,29,39,1,5,.986,,,2.56,2.00,P
179,Karim García,25,CLE,20,12,6,120.2,24,18,4,2,1,.917,-4,-39,1.64,1.10,OF-1B
180,Nomar Garciaparra,27,BOS,21,21,20,184.0,93,34,56,3,13,.968,-2,-13,4.40,4.29,SS
181,Jon Garland,21,CHW,35,16,0,117.0,26,8,17,1,4,.962,,,1.92,0.71,P
182,Chris George,21,KCR,13,13,1,74.0,13,7,5,1,0,.923,,,1.46,0.92,P
183,Jason Giambi,30,OAK,136,136,113,1176.1,1311,1224,76,11,107,.992,4,4,9.95,9.56,1B
184,Jeremy Giambi,26,OAK,57,48,39,422.2,131,123,3,5,6,.962,-10,-30,2.68,2.21,OF-1B
185,Jay Gibbons,24,BAL,34,30,20,263.0,102,98,4,0,3,1.000,2,9,3.49,2.91,OF-1B
186,Benji Gil,28,ANA,78,65,43,560.0,362,177,171,14,45,.961,0,0,5.59,4.14,SS-2B-1B-OF
187,Gerónimo Gil,25,BAL,17,17,13,150.0,133,121,10,2,1,.985,-2,-16,7.86,7.71,C
188,Matt Ginter,23,CHW,20,0,0,39.2,7,3,4,0,0,1.000,,,1.59,0.35,P
189,Charles Gipson,28,SEA,77,14,7,237.1,71,51,18,2,1,.972,3,13,2.62,0.85,OF-SS-3B-2B
190,Troy Glaus,24,ANA,159,158,149,1395.2,409,103,287,19,21,.954,-3,-3,2.51,2.42,3B-SS
191,Gary Glover,24,CHW,46,11,0,100.1,25,9,15,1,0,.960,,,2.15,0.52,P
192,Ryan Glynn,26,TEX,12,9,0,46.0,12,7,5,0,0,1.000,,,2.35,1.00,P
193,Chris Gomez,30,TBD,58,55,51,486.0,218,80,131,7,29,.968,0,-1,3.91,3.64,SS
194,Alex Gonzalez,28,TOR,154,153,148,1374.1,768,249,509,10,120,.987,10,9,4.96,4.92,SS
195,Juan González,31,CLE,119,119,92,981.0,227,214,10,3,3,.987,-3,-4,2.06,1.88,OF
196,Tony Graffanino,29,CHW,63,28,25,339.1,162,56,99,7,17,.957,5,18,4.11,2.31,3B-2B-SS-OF-1B
197,Craig Grebeck,36,BOS,23,12,6,118.2,48,16,32,0,4,1.000,0,-2,3.64,2.09,SS
198,Steve Green,23,ANA,1,1,0,6.0,1,0,1,0,1,1.000,,,1.50,1.00,P
199,Todd Greene,30,NYY,34,24,19,227.1,201,187,14,0,2,1.000,-5,-26,7.96,5.91,C
200,Rusty Greer,32,TEX,60,59,54,503.0,131,124,2,5,0,.962,-6,-14,2.25,2.10,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
201,Ben Grieve,25,TBD,120,118,100,1012.1,248,240,4,4,0,.984,-7,-8,2.17,2.03,OF
202,Jason Grimsley,33,KCR,73,0,0,80.1,22,6,12,4,2,.818,,,2.02,0.25,P
203,Buddy Groom,35,BAL,70,0,0,66.0,10,4,5,1,1,.900,,,1.23,0.13,P
204,Eddie Guardado,30,MIN,67,0,0,66.2,9,3,6,0,0,1.000,,,1.22,0.13,P
