Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
113,Ji Man Choi,27,MIL,3,2,2,19.0,12,10,2,0,5,1.000,1,32,0,0,0,5.68,4.00,1B-OF
114,Adam Cimber,27,SDP,42,0,0,48.1,11,1,9,1,0,.909,,,0,0,0,1.86,0.24,P
115,Tony Cingrani,28,LAD,30,0,0,22.2,3,1,2,0,0,1.000,,,0,0,0,1.19,0.10,P
116,Steve Cishek,32,CHC,80,0,0,70.2,14,5,8,1,1,.929,0,0,0,0,0,1.66,0.16,P-OF
117,Tyler Cloyd,31,MIA,7,0,0,17.2,1,1,0,0,0,1.000,,,0,0,0,0.51,0.14,P
118,A.J. Cole,26,WSN,4,2,0,10.1,3,1,2,0,0,1.000,,,0,0,0,2.61,0.75,P
119,Tim Collins,28,WSN,38,0,0,22.2,5,1,4,0,0,1.000,,,1,9,0,1.99,0.13,P
120,Michael Conforto,25,NYM,144,140,129,1271.1,301,293,5,3,0,.990,-4,-4,-5,-4,-1,2.11,2.07,OF
121,Adam Conley,28,MIA,52,0,0,50.2,4,2,2,0,0,1.000,,,0,0,0,0.71,0.08,P
122,P.J. Conlon,24,NYM,3,2,0,7.2,1,0,1,0,0,1.000,,,0,0,0,1.17,0.33,P
123,Willson Contreras,26,CHC,134,123,113,1124.2,1101,1018,71,12,9,.989,9,10,3,3,3,8.71,7.83,C-OF-1B
124,Garrett Cooper,27,MIA,12,10,5,78.2,42,38,4,0,1,1.000,1,21,3,45,0,4.81,3.23,OF-1B
125,Scott Copeland,30,NYM,1,0,0,1.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
126,Patrick Corbin,28,ARI,33,33,1,200.0,37,10,27,0,2,1.000,,,4,4,0,1.67,1.12,P
