Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
100,Carl Crawford,21,TBD,146,143,137,1262.1,365,352,10,3,1,.992,-11,-10,21,19,,2.58,2.48,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
101,Joe Crede,25,CHW,151,149,140,1306.0,385,107,264,14,29,.964,14,12,12,11,,2.56,2.46,3B
102,Doug Creek,34,TOR,21,0,0,13.2,4,2,1,1,1,.750,,,0,0,,1.98,0.14,P
103,Jack Cressend,28,CLE,33,0,0,43.0,4,2,0,2,0,.500,,,-3,-14,,0.42,0.06,P
104,Coco Crisp,23,CLE,90,89,87,809.0,219,213,5,1,2,.995,7,11,10,14,,2.43,2.42,OF
105,Bobby Crosby,23,OAK,9,0,0,20.0,18,5,11,2,2,.889,-2,-120,-3,-174,,7.20,1.78,SS
106,Deivi Cruz,30,BAL,147,144,137,1261.1,647,222,409,16,96,.975,-8,-8,5,5,,4.50,4.29,SS
107,Michael Cuddyer,24,MIN,30,24,18,220.1,66,56,9,1,2,.985,-3,-14,-6,-32,,2.66,2.10,OF-3B-1B-2B
108,Jack Cust,24,BAL,1,0,0,4.2,3,3,0,0,0,1.000,0,51,0,0,,5.79,3.00,OF
109,Omar Daal,31,BAL,19,17,0,93.2,34,8,25,1,3,.971,,,3,6,,3.17,1.74,P
110,Johnny Damon,29,BOS,144,141,136,1265.0,370,362,7,1,2,.997,-19,-18,4,3,,2.63,2.56,OF
111,Brian Daubach,31,CHW,55,39,29,356.2,281,258,21,2,21,.993,1,3,0,0,,7.04,4.89,1B-OF
112,Jeff DaVanon,29,ANA,115,82,66,792.0,235,229,2,4,0,.983,15,22,19,28,,2.63,2.01,OF
113,Ben Davis,26,SEA,73,66,63,587.2,449,421,24,4,9,.991,2,4,2,3,,6.82,6.10,C
114,Doug Davis,27,TOT,13,12,0,57.0,10,3,7,0,0,1.000,,,-2,-42,,1.58,0.77,P
115,Jason Davis,23,CLE,27,27,1,165.1,42,10,26,6,4,.857,,,1,1,,1.96,1.33,P
116,Travis Dawkins,24,KCR,3,1,1,11.0,7,3,4,0,0,1.000,0,22,0,0,,5.73,2.33,2B
117,Jorge De Paula,24,NYY,4,1,0,11.1,2,2,0,0,0,1.000,,,0,0,,1.59,0.50,P
118,Rick DeHart,33,KCR,4,0,0,4.0,3,0,3,0,0,1.000,,,0,0,,6.75,0.75,P
119,David DeJesus,23,KCR,9,0,0,22.0,2,2,0,0,0,1.000,-3,-142,-4,-218,,0.82,0.22,OF
120,Carlos Delgado,31,TOR,147,147,136,1278.0,1468,1355,103,10,137,.993,-4,-3,-6,-6,,10.27,9.92,1B
121,Wilson Delgado,30,ANA,18,13,12,128.2,61,27,31,3,9,.951,-1,-6,2,21,,4.06,3.05,SS-3B-2B
122,David Dellucci,29,NYY,18,15,11,134.0,32,31,1,0,1,1.000,-2,-17,2,17,,2.15,1.78,OF
123,Einar Díaz,30,TEX,101,95,88,842.0,708,650,50,8,9,.989,2,3,3,4,,7.48,6.93,C
124,Matt Diaz,25,TBD,1,1,1,9.0,7,6,0,1,0,.857,0,53,0,0,,6.00,6.00,OF
125,R.A. Dickey,28,TEX,38,13,1,116.2,19,5,14,0,1,1.000,,,2,3,,1.47,0.50,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
126,Mike Difelice,34,KCR,58,54,48,469.2,341,304,35,2,1,.994,-2,-5,-1,-3,,6.50,5.84,C
127,Juan Domínguez,23,TEX,6,3,0,16.1,1,0,1,0,0,1.000,,,-1,-12,,0.55,0.17,P
128,Brendan Donnelly,31,ANA,63,0,0,74.0,9,4,3,2,0,.778,,,0,0,,0.85,0.11,P
129,Sean Douglass,24,BAL,3,0,0,8.0,0,0,0,0,0,,,,-1,-25,,0.00,0.00,P
130,Ryan Drese,27,TEX,11,8,0,46.0,5,1,4,0,2,1.000,,,-1,-4,,0.98,0.45,P
131,Travis Driskill,31,BAL,20,0,0,48.0,9,3,6,0,1,1.000,,,-2,-8,,1.69,0.45,P
132,Eric DuBose,27,BAL,17,10,1,73.2,15,4,11,0,1,1.000,,,1,3,,1.83,0.88,P
133,Justin Duchscherer,25,OAK,4,3,0,16.1,3,0,3,0,0,1.000,,,0,0,,1.65,0.75,P
134,Erubiel Durazo,29,OAK,33,33,29,283.1,313,298,9,6,26,.981,4,17,-1,-4,,9.75,9.30,1B
135,Chad Durbin,25,CLE,3,1,0,8.2,2,0,1,1,1,.500,,,0,0,,1.04,0.33,P
136,Trent Durrington,27,ANA,8,2,1,30.0,8,2,6,0,0,1.000,1,32,0,0,,2.40,0.80,2B-3B-OF
137,Jermaine Dye,29,OAK,61,60,46,517.1,107,106,1,0,0,1.000,-3,-7,-6,-13,,1.86,1.75,OF
138,Damion Easley,33,TBD,27,25,21,213.1,62,16,42,4,3,.935,-4,-23,-7,-40,,2.45,2.15,3B-2B
139,Eric Eckenstahler,26,DET,20,0,0,15.2,1,0,0,1,0,.000,,,-1,-13,,0.00,0.00,P
140,David Eckstein,28,ANA,116,114,103,985.0,494,193,293,8,67,.984,2,3,3,4,,4.44,4.19,SS
141,Mike Edwards,26,OAK,2,0,0,4.0,0,0,0,0,0,,-1,-330,-2,-600,,0.00,0.00,OF
142,Dave Elder,27,CLE,4,0,0,2.1,1,0,1,0,0,1.000,,,1,86,,3.86,0.25,P
143,Mark Ellis,26,OAK,153,147,137,1297.2,793,324,455,14,95,.982,7,6,17,16,,5.40,5.09,2B
144,Robert Ellis,32,TEX,4,4,0,18.1,2,0,2,0,0,1.000,,,0,0,,0.98,0.50,P
145,Alan Embree,33,BOS,65,0,0,55.0,12,4,8,0,0,1.000,,,0,0,,1.96,0.18,P
146,Darin Erstad,29,ANA,66,66,58,559.1,192,190,2,0,1,1.000,13,29,10,21,,3.09,2.91,OF
147,Félix Escalona,24,TBD,10,9,6,79.0,43,18,25,0,11,1.000,-1,-12,-1,-12,,4.90,4.30,SS-2B-3B
148,Alex Escobar,24,CLE,25,25,24,221.0,64,59,3,2,2,.969,3,14,2,10,,2.52,2.48,OF
149,Kelvim Escobar,27,TOR,41,26,1,180.1,35,15,18,2,2,.943,,,-5,-6,,1.65,0.80,P
150,Carl Everett,32,TOT,140,132,78,1109.2,295,282,9,4,2,.986,-7,-7,-4,-4,,2.36,2.08,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
151,Carlos Febles,27,KCR,68,57,52,521.1,263,98,162,3,34,.989,-2,-4,-12,-28,,4.49,3.82,2B-SS
152,Mike Fetters,38,MIN,5,0,0,6.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
153,Nate Field,27,KCR,19,0,0,21.2,9,1,8,0,0,1.000,,,2,18,,3.74,0.47,P
154,Chone Figgins,25,ANA,67,59,54,528.2,196,147,46,3,10,.985,6,14,7,15,,3.29,2.80,OF-2B-SS
155,Jeremy Fikac,28,OAK,14,0,0,16.0,2,0,2,0,0,1.000,,,0,0,,1.13,0.14,P
156,Tony Fiore,31,MIN,21,0,0,36.0,9,3,6,0,3,1.000,,,-1,-6,,2.25,0.43,P
157,John Flaherty,35,NYY,40,31,25,284.0,212,200,10,2,0,.991,3,13,1,3,,6.65,5.25,C
158,Lew Ford,26,MIN,25,12,11,151.2,39,35,1,3,1,.923,-6,-47,6,47,,2.14,1.44,OF
159,Brook Fordyce,33,BAL,107,100,94,884.2,668,624,41,3,5,.996,-3,-4,-10,-14,,6.77,6.21,C
160,Casey Fossum,25,BOS,19,14,0,79.0,9,1,8,0,0,1.000,,,1,3,,1.03,0.47,P
161,Keith Foulke,30,OAK,72,0,0,86.2,15,3,12,0,1,1.000,,,1,2,,1.56,0.21,P
162,Chad Fox,32,BOS,17,0,0,18.0,3,0,2,1,0,.667,,,0,0,,1.00,0.12,P
163,Ryan Franklin,30,SEA,32,32,2,212.0,28,10,18,0,2,1.000,,,2,2,,1.19,0.88,P
164,Brad Fullmer,28,ANA,19,17,13,148.2,153,142,11,0,17,1.000,0,0,1,9,,9.26,8.05,1B
165,Aaron Fultz,29,TEX,64,0,0,67.1,18,7,11,0,3,1.000,,,-1,-3,,2.41,0.28,P
166,Ron Gant,38,OAK,9,5,4,50.0,9,9,0,0,0,1.000,0,10,0,0,,1.62,1.00,OF
167,Freddy García,26,SEA,33,33,1,201.1,43,20,22,1,3,.977,,,0,0,,1.88,1.27,P
168,Karim García,27,TOT,73,68,51,583.1,148,135,7,6,0,.959,-9,-18,-4,-8,,2.19,1.95,OF
169,Reynaldo Garcia,29,TEX,17,0,0,18.0,3,2,1,0,0,1.000,,,1,11,,1.50,0.18,P
170,Rosman García,24,TEX,46,0,0,46.1,9,5,4,0,0,1.000,,,-2,-9,,1.75,0.20,P
171,Nomar Garciaparra,29,BOS,156,155,139,1364.2,692,216,456,20,83,.971,13,11,6,5,,4.43,4.31,SS
172,Jon Garland,23,CHW,32,32,0,191.2,46,16,30,0,1,1.000,,,3,3,,2.16,1.44,P
173,Chad Gaudin,20,TBD,15,3,0,40.0,6,4,2,0,0,1.000,,,-1,-5,,1.35,0.40,P
174,Chris George,23,KCR,18,18,0,93.2,23,10,12,1,1,.957,,,-1,-2,,2.11,1.22,P
175,Esteban Germán,25,OAK,5,0,0,13.0,11,5,6,0,1,1.000,-2,-148,-1,-111,,7.62,2.20,2B
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
176,Franklyn Germán,23,DET,45,0,0,44.2,6,1,5,0,1,1.000,,,-2,-9,,1.21,0.13,P
177,Jody Gerut,25,CLE,113,108,105,970.1,247,234,9,4,2,.984,1,1,10,12,,2.25,2.15,OF
178,Jason Giambi,32,NYY,85,85,79,742.2,771,748,19,4,63,.995,-3,-5,-5,-8,,9.29,9.02,1B
179,Jeremy Giambi,28,BOS,11,7,4,65.0,18,17,0,1,0,.944,-5,-92,-4,-73,,2.35,1.55,OF
180,Jay Gibbons,26,BAL,155,155,148,1371.2,395,374,15,6,17,.985,-11,-9,-11,-9,,2.55,2.48,OF-1B
181,Benji Gil,30,ANA,53,37,21,333.1,183,74,103,6,29,.967,1,2,0,-1,,4.78,3.11,2B-SS-1B-3B
182,Gerónimo Gil,27,BAL,53,49,42,435.2,366,326,34,6,3,.984,-2,-6,1,2,,7.44,6.79,C
183,Jason Gilfillan,26,KCR,13,0,0,16.1,2,2,0,0,0,1.000,,,0,0,,1.10,0.15,P
184,Matt Ginter,25,CHW,3,0,0,3.1,1,1,0,0,0,1.000,,,0,0,,2.70,0.33,P
185,Charles Gipson,30,NYY,8,2,2,31.0,8,8,0,0,0,1.000,1,54,2,77,,2.32,1.00,OF
186,Doug Glanville,32,TEX,52,47,43,417.2,118,117,1,0,0,1.000,-3,-9,4,11,,2.54,2.27,OF
187,Troy Glaus,26,ANA,87,86,80,732.1,208,56,136,16,11,.923,-10,-16,-8,-13,,2.36,2.21,3B
188,Gary Glover,26,TOT,42,0,0,62.2,9,2,6,1,2,.889,,,-3,-57,,1.15,0.19,P
189,Jimmy Gobble,21,KCR,9,9,0,52.2,7,3,4,0,0,1.000,,,-2,-8,,1.20,0.78,P
190,Chris Gomez,32,MIN,54,42,36,404.1,169,64,102,3,16,.982,-5,-16,-6,-18,,3.69,2.86,2B-3B-SS
191,Geremi González,28,TBD,25,25,2,156.1,27,15,11,1,0,.963,,,2,3,,1.50,1.04,P
192,Juan González,33,TEX,57,57,46,471.0,108,98,10,0,2,1.000,-9,-24,-2,-5,,2.06,1.89,OF
193,Tom Gordon,35,CHW,66,0,0,74.0,16,6,10,0,1,1.000,,,2,5,,1.95,0.24,P
194,Jason Grabowski,27,OAK,4,0,0,8.1,3,3,0,0,0,1.000,0,-14,0,0,,3.24,0.75,OF-3B
195,Tony Graffanino,31,CHW,81,60,44,551.0,288,106,174,8,41,.972,4,10,2,4,,4.57,3.22,SS-2B-3B-1B
196,Todd Greene,32,TEX,53,49,46,433.1,325,292,29,4,4,.988,3,7,-1,-4,,6.67,6.06,C-1B
197,Kevin Gregg,25,ANA,5,3,0,24.2,2,1,1,0,0,1.000,,,0,0,,0.73,0.40,P
198,Tom Gregorio,26,ANA,12,6,5,60.0,47,44,2,1,0,.979,0,0,0,0,,6.90,3.83,C
199,Ben Grieve,27,TBD,10,10,8,85.0,19,17,1,1,1,.947,-1,-11,0,0,,1.91,1.80,OF
200,Jason Grimsley,35,KCR,76,0,0,75.0,32,17,14,1,2,.969,,,-1,-3,,3.72,0.41,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
201,Buddy Groom,37,BAL,60,0,0,45.1,8,2,6,0,0,1.000,,,0,0,,1.59,0.13,P
202,Eddie Guardado,32,MIN,66,0,0,65.1,6,3,2,1,0,.833,,,-2,-6,,0.69,0.08,P
203,Aaron Guiel,30,KCR,89,84,82,754.1,202,190,9,3,2,.985,-1,-2,2,3,,2.37,2.24,OF
204,Carlos Guillén,27,SEA,108,102,93,900.2,381,160,207,14,59,.963,-13,-17,0,0,,3.67,3.40,SS-3B
205,José Guillén,27,OAK,44,43,36,373.0,69,65,0,4,0,.942,-5,-15,0,0,,1.57,1.48,OF
206,Ricky Gutiérrez,33,CLE,16,14,11,124.0,52,18,31,3,4,.942,-2,-20,-6,-55,,3.56,3.06,SS-3B
207,Cristian Guzmán,25,MIN,141,137,129,1232.1,558,195,352,11,67,.980,-1,0,-13,-13,,3.99,3.88,SS
208,Travis Hafner,26,CLE,42,40,26,329.2,393,369,18,6,47,.985,-3,-9,-4,-15,,10.57,9.21,1B
209,Jerry Hairston,27,BAL,48,48,45,418.1,244,103,136,5,34,.980,-4,-13,-1,-3,,5.14,4.98,2B
210,John Halama,31,OAK,35,13,0,108.2,29,9,19,1,1,.966,,,-2,-4,,2.32,0.80,P
211,Toby Hall,27,TBD,130,126,117,1107.0,754,685,60,9,10,.988,4,4,5,5,,6.06,5.73,C
212,Roy Halladay,26,TOR,36,36,9,266.0,74,23,50,1,5,.986,,,0,0,,2.47,2.03,P
213,Shane Halter,33,DET,105,89,72,818.0,440,193,238,9,51,.980,8,12,11,16,,4.74,3.75,3B-2B-SS-1B-OF
