Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3","Top of the 1st, Phillies Batting, Tied 0-0, Red Sox' David Price facing 1-2-3"
t4,1-0,2,---,"1,(0-0) X",O,PHI,Jorge Alfaro,David Price,1%,43%,Groundout: 3B-1B (SS-3B Hole)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Phillies 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 1, Red Sox 0."
"Bottom of the 4th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 2-3-4","Bottom of the 4th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 2-3-4"
b4,0-1,0,---,"5,(2-2) BSBCX",O,BOS,Andrew Benintendi,Aaron Nola,-3%,40%,Groundout: P-1B
b4,0-1,1,---,"4,(1-2) BSSX",O,BOS,J.D. Martinez,Aaron Nola,-2%,38%,Groundout: P-1B
b4,0-1,2,---,"7,(3-2) BBCSBFS",O,BOS,Mitch Moreland,Aaron Nola,-1%,36%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Phillies 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 1, Red Sox 0."
"Top of the 5th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 5th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 5th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 5th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 5th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 5th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 5th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 5th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 5th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 5th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 5th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1","Top of the 5th, Phillies Batting, Ahead 1-0, Red Sox' David Price facing 8-9-1"
t5,1-0,0,---,"4,(1-2) LBFX",O,PHI,Roman Quinn,David Price,2%,39%,Popfly: 1B
t5,1-0,1,---,"3,(0-2) CSX",O,PHI,Scott Kingery,David Price,2%,41%,Flyball: RF (Deep RF)
t5,1-0,2,---,"4,(2-1) CBBX",O,PHI,Cesar Hernandez,David Price,1%,42%,Groundout: 3B-1B (SS-3B Hole)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Phillies 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 1, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Phillies 1, Red Sox 0."
"Bottom of the 5th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 5-6-7","Bottom of the 5th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 5-6-7","Bottom of the 5th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 5-6-7","Bottom of the 5th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 5-6-7","Bottom of the 5th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 5-6-7","Bottom of the 5th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 5-6-7","Bottom of the 5th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 5-6-7","Bottom of the 5th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 5-6-7","Bottom of the 5th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 5-6-7","Bottom of the 5th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 5-6-7","Bottom of the 5th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 5-6-7","Bottom of the 5th, Red Sox Batting, Behind 0-1, Phillies' Aaron Nola facing 5-6-7"
b5,0-1,0,---,"3,(0-2) CFS",O,BOS,Xander Bogaerts,Aaron Nola,-3%,39%,Strikeout Swinging
b5,0-1,1,---,"6,(2-2) CBBSFX",,BOS,Jackie Bradley Jr.,Aaron Nola,4%,42%,Single to RF (Line Drive)
b5,0-1,1,1--,"1,(0-0) 1X",R,BOS,Eduardo Nunez,Aaron Nola,21%,63%,Triple to CF (Line Drive to Deep CF); Bradley Scores; Nunez to 3B
b5,1-1,1,--3,"5,(3-1) CBBBB",,BOS,Brock Holt,Aaron Nola,2%,65%,Walk
b5,1-1,1,1-3,"1,(0-0) >X",OO,BOS,Sandy Leon,Aaron Nola,-15%,50%,Double Play: Lineout: 2B (2B-1B); Holt out at 1B/2B-1B
,,,,,,,,,"1 run, 2 hits, 0 errors, 1 LOB. Phillies 1, Red Sox 1.","1 run, 2 hits, 0 errors, 1 LOB. Phillies 1, Red Sox 1.","1 run, 2 hits, 0 errors, 1 LOB. Phillies 1, Red Sox 1."
"Top of the 6th, Phillies Batting, Tied 1-1, Red Sox' David Price facing 2-3-4","Top of the 6th, Phillies Batting, Tied 1-1, Red Sox' David Price facing 2-3-4","Top of the 6th, Phillies Batting, Tied 1-1, Red Sox' David Price facing 2-3-4","Top of the 6th, Phillies Batting, Tied 1-1, Red Sox' David Price facing 2-3-4","Top of the 6th, Phillies Batting, Tied 1-1, Red Sox' David Price facing 2-3-4","Top of the 6th, Phillies Batting, Tied 1-1, Red Sox' David Price facing 2-3-4","Top of the 6th, Phillies Batting, Tied 1-1, Red Sox' David Price facing 2-3-4","Top of the 6th, Phillies Batting, Tied 1-1, Red Sox' David Price facing 2-3-4","Top of the 6th, Phillies Batting, Tied 1-1, Red Sox' David Price facing 2-3-4","Top of the 6th, Phillies Batting, Tied 1-1, Red Sox' David Price facing 2-3-4","Top of the 6th, Phillies Batting, Tied 1-1, Red Sox' David Price facing 2-3-4","Top of the 6th, Phillies Batting, Tied 1-1, Red Sox' David Price facing 2-3-4"
t6,1-1,0,---,"3,(1-1) BCX",O,PHI,Rhys Hoskins,David Price,3%,53%,Flyball: RF (Deep CF-RF)
t6,1-1,1,---,"3,(1-1) CBX",O,PHI,Odubel Herrera,David Price,3%,56%,Groundout: SS-1B
t6,1-1,2,---,"4,(2-1) BCBX",,PHI,Carlos Santana,David Price,-2%,54%,Single to RF (Ground Ball)
t6,1-1,2,1--,"5,(1-2) CCFBX",,PHI,Asdrubal Cabrera,David Price,-3%,51%,Single to 3B (Ground Ball to Weak 3B); Santana to 2B
