Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3","Top of the 1st, Rockies Batting, Tied 0-0, Red Sox' Chris Sale facing 1-2-3"
"Bottom of the 4th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 7-8-9","Bottom of the 4th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 7-8-9","Bottom of the 4th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 7-8-9","Bottom of the 4th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 7-8-9","Bottom of the 4th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 7-8-9","Bottom of the 4th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 7-8-9","Bottom of the 4th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 7-8-9","Bottom of the 4th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 7-8-9","Bottom of the 4th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 7-8-9","Bottom of the 4th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 7-8-9","Bottom of the 4th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 7-8-9","Bottom of the 4th, Red Sox Batting, Ahead 3-0, Rockies' Kyle Freeland facing 7-8-9"
b4,3-0,0,---,"4,(1-2) SCBX",,BOS,Steve Pearce,Kyle Freeland,-2%,14%,Reached on E5 (throw) (Ground Ball)
b4,3-0,0,1--,"1,(0-0) X",O,BOS,Eduardo Nunez,Kyle Freeland,2%,15%,Lineout: RF
b4,3-0,1,1--,"1,(0-0) X",O,BOS,Sandy Leon,Kyle Freeland,2%,17%,Popfly: 1B (Short 1B Line)
b4,3-0,2,1--,"3,(0-2) SCS",O,BOS,Andrew Benintendi,Kyle Freeland,1%,18%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 1 error, 1 LOB. Rockies 0, Red Sox 3.","0 runs, 0 hits, 1 error, 1 LOB. Rockies 0, Red Sox 3.","0 runs, 0 hits, 1 error, 1 LOB. Rockies 0, Red Sox 3."
"Top of the 5th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 4-5-6","Top of the 5th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 4-5-6","Top of the 5th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 4-5-6","Top of the 5th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 4-5-6","Top of the 5th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 4-5-6","Top of the 5th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 4-5-6","Top of the 5th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 4-5-6","Top of the 5th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 4-5-6","Top of the 5th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 4-5-6","Top of the 5th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 4-5-6","Top of the 5th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 4-5-6","Top of the 5th, Rockies Batting, Behind 0-3, Red Sox' Chris Sale facing 4-5-6"
t5,0-3,0,---,"3,(1-1) CBX",,COL,Mark Reynolds,Chris Sale,6%,24%,Ground-rule Double (Fly Ball to Deep RF Line)
t5,0-3,0,-2-,"3,(1-1) BCX",O,COL,Raimel Tapia,Chris Sale,-4%,19%,Lineout: LF
t5,0-3,1,-2-,"3,(0-2) FCT",O,COL,Ian Desmond,Chris Sale,-4%,16%,Strikeout Swinging
