home_moneyline,away_team_abbr,date,home_team_abbr,home_score,away_score
,CHC,2012-03-22 16:05:00,TEX,4.0,11.0
,CLE,2012-03-22 16:05:00,SD,4.0,9.0
,KC,2012-03-22 16:05:00,LAA,7.0,4.0
,KC,2012-03-22 16:05:00,CHW,16.0,4.0
,COL,2012-03-22 16:15:00,SD,11.0,6.0
,NYY,2012-03-22 19:05:00,BOS,4.0,4.0
,TEX,2012-03-22 22:05:00,CIN,6.0,2.0
,SF,2012-03-22 22:10:00,COL,7.0,0.0
,ATL,2012-03-21 13:05:00,WAS,2.0,3.0
,BOS,2012-03-21 13:05:00,PIT,6.0,5.0
,MIN,2012-03-21 13:05:00,DET,3.0,7.0
,NYY,2012-03-21 13:05:00,TB,2.0,5.0
,NYM,2012-03-21 13:05:00,STL,2.0,1.0
,TOR,2012-03-21 13:05:00,BAL,3.0,6.0
,CHW,2012-03-21 16:05:00,SEA,8.0,13.0
,OAK,2012-03-21 16:05:00,KC,8.0,3.0
,SD,2012-03-21 16:05:00,LAD,0.0,3.0
,SF,2012-03-21 16:05:00,CLE,3.0,5.0
,MIL,2012-03-21 16:10:00,ARI,0.0,0.0
,BOS,2012-03-23 13:05:00,BAL,6.0,5.0
,DET,2012-03-23 13:05:00,PIT,2.0,7.0
,MIN,2012-03-23 13:05:00,NYY,6.0,4.0
,NYY,2012-03-23 13:05:00,PHI,3.0,5.0
,NYM,2012-03-23 13:05:00,ATL,9.0,4.0
,STL,2012-03-23 13:05:00,MIA,1.0,2.0
,WAS,2012-03-23 13:05:00,HOU,5.0,1.0
,LAA,2012-03-23 16:05:00,MIL,3.0,6.0
,LAD,2012-03-23 16:05:00,CHW,4.0,17.0
,LAD,2012-03-23 16:05:00,KC,2.0,0.0
,CHC,2012-03-23 16:10:00,COL,8.0,10.0
,TOR,2012-03-23 19:05:00,TB,5.0,7.0
,LAA,2012-03-23 22:05:00,CLE,1.0,4.0
,ARI,2012-03-23 22:05:00,CHW,6.0,3.0
,CIN,2012-03-23 22:05:00,SD,5.0,2.0
,TEX,2012-03-23 22:05:00,SF,1.0,4.0
,ATL,2012-03-24 13:05:00,TOR,9.0,0.0
,BOS,2012-03-24 13:05:00,MIA,1.0,4.0
,HOU,2012-03-24 13:05:00,PIT,4.0,5.0
,NYY,2012-03-24 13:05:00,DET,2.0,4.0
,WAS,2012-03-24 13:05:00,BAL,12.0,3.0
,STL,2012-03-24 13:10:00,NYM,6.0,6.0
,PHI,2012-03-24 13:35:00,BOS,5.0,10.0
