Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Ryan Reid","TBD","A,A-,A+,AA,AAA","21-31",622.1,0.32429379,2.20987654,0.17302799,0.56933842,0.25763359,0.15555556,0.08148148,0.42971148,0.2295887,0.34069982,0.13693694,3140,5194,8325,"9385"
"Josh Tomlin","CLE","A,A-,A+,AA,AAA,R","21-36",686.2,0.27792074,0.88378033,0.15714286,0.39542857,0.44742857,0.21328225,0.08556833,0.46607341,0.25973304,0.27419355,0.18645815,1455,4364,5819,"9388"
"John Holdzkom","NYM","A,A-,A+,AA,AAA,R","18-28",187.1,0.32317073,1.73170732,0.14720812,0.54060914,0.31218274,0.21138211,0.04878049,0.42117647,0.21411765,0.36470588,0.20567035,767,1314,2081,"9392"
"Daniel Stange","ARI","A,A+,AA,AAA,R","20-28",442,0.32125984,1.11685393,0.18512111,0.4299308,0.3849481,0.23370787,0.06966292,0.39632107,0.25919732,0.34448161,0.12479118,2223,3763,5986,"9404"
"Hiram Burgos","MIL","A,A+,AA,AAA,R","21-29",870.1,0.31441048,1.13306452,0.15965052,0.44638602,0.39396346,0.19354839,0.07258065,0.47027027,0.23474903,0.29498069,0.14791488,3379,7100,10479,"9412"
"Kris Medlen","ATL","A,A+,AA,AAA,R","20-32",447.2,0.3131068,1.19069767,0.21303258,0.42773601,0.35923141,0.21627907,0.12093023,0.431562,0.26006441,0.30837359,0.15510984,1620,3615,5235,"9417"
"Zac Rosscup","TBR","A,A-,A+,AA,AAA,CPX,R","21-34",388.1,0.29171039,0.99465241,0.19176598,0.40303359,0.40520043,0.2459893,0.03743316,0.41968912,0.24248705,0.33782383,0.18154706,1874,3491,5365,"9419"
"Doug Fister","SEA","A-,A+,AA,AAA","22-33",458.1,0.32921811,1.41855204,0.19804951,0.47036759,0.3315829,0.19230769,0.08371041,0.46768337,0.24981845,0.28249818,0.14445254,1115,3004,4119,"9425"
"Mike Venafro","CIN","AAA","32-33",88.2,0.30526316,2.275,0.2202381,0.54166667,0.23809524,0.2,0.05,0.44827586,0.2816092,0.27011494,0.07496977,318,509,827,"943"
"Dallas Keuchel","HOU","A,A-,A+,AA,AAA,CPX","21-35",582.1,0.29744728,2.29555556,0.16591676,0.58098988,0.25309336,0.16888889,0.08222222,0.49455338,0.20533769,0.30010893,0.13916472,2183,4665,6848,"9434"
"Barry Zito","SFG","A+,AAA","33-37",177,0.25527831,0.88789238,0.19038462,0.38076923,0.42884615,0.21076233,0.05829596,0.45864662,0.27443609,0.26691729,0.08666667,1059,1641,2700,"944"
"Ryan Buchter","WSN","A,A-,A+,AA,AAA,R","19-34",503,0.3044898,0.92464358,0.18110919,0.39341421,0.4254766,0.26272912,0.05498982,0.38685524,0.26372712,0.34941764,0.15472441,2917,4703,7620,"9456"
"Dan Straily","OAK","A,A-,A+,AA,AAA","20-33",934.1,0.31387147,0.92961609,0.17827949,0.39587388,0.42584663,0.22120658,0.08592322,0.43598485,0.25265152,0.31136364,0.1728788,3811,8128,11939,"9460"
"Cole Kimball","WSN","A,A-,A+,AA,AAA,R","20-29",430,0.29973707,0.85501066,0.14031621,0.39624506,0.46343874,0.21748401,0.0554371,0.43019943,0.25261159,0.31718898,0.22781716,1371,2720,4091,"9480"
"George Kontos","NYY","A-,A+,AA,AAA","21-34",706.2,0.29517454,0.99186992,0.15951973,0.41852487,0.4219554,0.18292683,0.08943089,0.42508324,0.24084351,0.33407325,0.191444,2123,4913,7036,"9486"
"Phil Irwin","PIT","A,A-,A+,AA,AAA","22-28",526.2,0.30988719,1.54747475,0.16212625,0.5089701,0.32890365,0.19393939,0.07676768,0.42115509,0.23491239,0.34393251,0.13347355,1905,4276,6181,"9489"
"Jeremy Jeffress","MIL","A,A+,AA,AAA,R","18-31",500,0.29740362,1.8,0.18647008,0.52298352,0.2905464,0.18507463,0.09552239,0.41333333,0.215,0.37166667,0.17444219,2165,3751,5916,"9490"
"Bud Norris","HOU","A,A-,A+,AA,AAA","21-32",383,0.31690821,1.4512987,0.18554477,0.48220065,0.33225458,0.18506494,0.08766234,0.42099792,0.23388773,0.34511435,0.15029511,1633,3111,4744,"9492"
"Jay Buente","FLA","A,A-,A+,AA,AAA,R","22-27",379.2,0.29912023,1.71268657,0.17667044,0.5198188,0.30351076,0.25,0.09701493,0.52121872,0.20565832,0.27312296,0.17063129,1508,2864,4372,"9494"
"Kam Mickolio","SEA","A-,AA,AAA","22-33",295.1,0.3046683,1.21115538,0.20028818,0.43804035,0.36167147,0.21912351,0.07569721,0.37845304,0.27209945,0.34944751,0.13605442,1337,2485,3822,"9513"
"Jordan Smith","CIN","A,A+,AA,AAA,R","20-27",562.2,0.30731441,1.75527426,0.18476904,0.51935081,0.29588015,0.17299578,0.07383966,0.50150693,0.21760096,0.2808921,0.14416476,1568,3676,5244,"9515"
"Drew Carpenter","PHI","A-,A+,AA,AAA,R","21-29",960.2,0.30261816,1.05055698,0.18215995,0.41900205,0.398838,0.17909169,0.0882605,0.47918748,0.24375624,0.27705628,0.11951056,4043,7889,11932,"9533"
"Brandon Duckworth","PIT","A+,AAA","30-36",667.1,0.29096478,1.36468647,0.18579545,0.46988636,0.34431818,0.18646865,0.10726073,0.47775306,0.24471635,0.27753059,0.08674167,3755,5756,9511,"954"
"P.J. Walters","STL","A,A-,A+,AA,AAA","21-30",1093.2,0.32008693,1.27954145,0.17464879,0.46328225,0.36206897,0.18165785,0.08906526,0.48234201,0.24845105,0.26920694,0.11668123,5848,10170,16018,"9557"
"Austin Bibens-Dirkx","SEA","A,A-,A+,AA,AAA,R","21-36",1269.2,0.29705573,1.01442623,0.17970628,0.41308411,0.40720961,0.2052459,0.09639344,0.47326064,0.25856698,0.26817238,0.11519486,6409,11630,18039,"9559"
"Mike McClendon","MIL","A,A+,AA,AAA,R","21-29",682.1,0.31393775,1.53055142,0.1577381,0.5094246,0.3328373,0.18330849,0.06557377,0.48742288,0.2244898,0.28808733,0.12335329,2326,5205,7515,"9587"
"Hector Mercado","DET","AAA","32-34",66,0.33173077,2.56521739,0.2038835,0.57281553,0.22330097,0.26086957,0.04347826,0.35576923,0.21153846,0.43269231,0.10707457,203,320,523,"960"
"Steve Ames","LAD","A,A+,AA,AAA,R","21-26",249.2,0.31944444,1.22707424,0.203125,0.4390625,0.3578125,0.18340611,0.069869,0.35249622,0.2118003,0.43570348,0.1619883,1012,2408,3420,"9615"
"Brett Myers","PHI","A,A-,A+,AA,AAA","26-32",50,0.26153846,1.53658537,0.17460317,0.5,0.32539683,0.19512195,0.07317073,0.54545455,0.23484848,0.21969697,0.20695652,185,390,575,"962"
"Vicente Padilla","TEX","A+,AA,AAA","29-33",38.2,0.26415094,1.68571429,0.12149533,0.55140187,0.3271028,0.11428571,0.11428571,0.57657658,0.17117117,0.25225225,0.21606648,86,275,361,"964"
"Brian Moran","SEA","A,A+,AA,AAA,R","20-34",612.2,0.31561892,1.00160514,0.18973359,0.40545809,0.40480832,0.25361156,0.07704655,0.39521712,0.25110132,0.35368156,0.14694575,3187,6177,9364,"9646"
"Jose Ortega","DET","A,A-,A+,AA,AAA,R","18-27",435.1,0.30473136,1.30357143,0.1697506,0.46983105,0.36041834,0.22544643,0.07142857,0.45376176,0.22884013,0.31739812,0.1287703,2370,3664,6034,"9651"
"Michael Blazek","STL","A,A-,A+,AA,AAA,R","18-30",774.2,0.30829134,1.20873786,0.16628493,0.45625286,0.37746221,0.19660194,0.09466019,0.46325167,0.23385301,0.30289532,0.14884379,3784,6811,10595,"9654"
"Cliff Politte","CHW","AA,AAA","32-34",22,0.31034483,0.7826087,0.12765957,0.38297872,0.4893617,0.2173913,0.17391304,0.39583333,0.27083333,0.33333333,0.23786408,65,141,206,"967"
"Vidal Nuno","CLE","A,A-,A+,AA,AAA,R","21-33",623,0.31147541,0.99445215,0.19349411,0.40213124,0.40437465,0.25242718,0.09708738,0.46851249,0.24212812,0.28935939,0.15052659,2281,5505,7786,"9674"
"Mike Zagurski","PHI","A,A+,AA,AAA","23-35",446.2,0.31091618,1.02266289,0.18119266,0.41399083,0.40481651,0.20963173,0.07365439,0.37377049,0.24262295,0.38360656,0.15163801,2204,3962,6166,"9683"
"Jose Santiago","MEX","AAA","31-34",481.2,0.3443287,1.60158311,0.18847737,0.49958848,0.31193416,0.20844327,0.11081794,0.5008,0.228,0.2712,0.0640454,1746,3188,4934,"972"
"Louis Coleman","KCR","A,A+,AA,AAA,R","23-33",387.1,0.26680896,0.69432314,0.16738197,0.34120172,0.49141631,0.27074236,0.05240175,0.42797495,0.28601253,0.28601253,0.14228987,2133,3911,6044,"9720"
"Carlos Silva","SEA","A,A-,A+,AA,AAA","30-32",47.1,0.28368794,1.92307692,0.2027972,0.52447552,0.27272727,0.17948718,0.15384615,0.53741497,0.17687075,0.28571429,0.16666667,148,374,522,"973"
"Burke Badenhop","DET","A,A+,AA,AAA,R","23-33",390,0.29368932,1.76958525,0.11094675,0.56804734,0.32100592,0.19815668,0.03686636,0.44880785,0.23001403,0.32117812,0.15047196,464,1337,1801,"9736"
"David Hale","ATL","A,A+,AA,AAA,R","21-31",793.1,0.32061069,1.54282116,0.1779316,0.4987785,0.3232899,0.16498741,0.07304786,0.44785518,0.22510823,0.3270366,0.12637513,3862,7137,10999,"9756"
"Randy Wolf","PHI","A,A+,AA,AAA","29-38",256,0.3359375,1.33185841,0.23065693,0.43941606,0.32992701,0.24778761,0.05752212,0.42105263,0.26742532,0.31152205,0.08621151,1367,2368,3735,"976"
"Joe Kelly","STL","A,A-,A+,AA,AAA","21-35",413.1,0.31895093,2.32993197,0.1553063,0.59102675,0.25366695,0.15306122,0.05442177,0.39065109,0.25125209,0.35809683,0.14798672,1647,3171,4818,"9761"
"James Jones","TEX","A,A+,AA,AAA,CPX,R","27-34",169.2,0.30493274,1.67669173,0.2,0.5011236,0.2988764,0.16541353,0.12781955,0.41036717,0.23110151,0.35853132,0.1222692,1091,1747,2838,"9767"
"Blake Smith","LAD","A+,AA,AAA","25-28",205.1,0.3028169,1.43243243,0.19642857,0.47321429,0.33035714,0.22162162,0.08108108,0.38687392,0.22797927,0.3851468,0.12189826,1199,2025,3224,"9780"
"Garrett Richards","LAA","A,A+,AA,AAA,R","21-34",419,0.31622517,1.72802198,0.16973244,0.52591973,0.30434783,0.19230769,0.07967033,0.47244733,0.23095624,0.29659643,0.16976932,1579,3363,4942,"9784"
