"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Taylor, Chris","621035","373","12.2",39.7,"110.1","87.1","91.2","83.3","443","179","398","126",34.1,"30",8,5.3
"Swanson, Dansby","621020","372","8.3",31.2,"107.6","86.9","91.6","83.8","419","155","395","120",32.5,"11",3,2
"Beltrán, Carlos","136860","371","13.4",29.4,"109.6","87.3","91.5","84.8","438","183","397","115",31,"17",4.6,3.3
"Zobrist, Ben","450314","369","9.3",29,"106.9","87.2","90.7","85.1","425","158","393","119",32.2,"17",4.6,3.4
"Heyward, Jason","518792","369","11.4",29.3,"112.7","86.6","90.7","85.6","434","161","397","115",31.3,"15",4.1,3.1
"Joseph, Tommy","571830","369","14.1",30.9,"112.8","89.3","94.2","86.8","447","177","401","148",40.3,"27",7.3,5.1
"Beckham, Tim","542921","368","8.5",34.8,"110.1","88.4","94.3","84.3","456","166","402","149",40.7,"35",9.5,6.1
"Morrison, Logan","489149","366","17.6",39.6,"114.4","88.6","94.2","82","444","206","405","155",42.3,"47",12.8,7.8
"Pedroia, Dustin","456030","364","10.5",33.2,"101.9","85.2","88.6","83.6","395","155","381","76",21.1,"4",1.1,0.9
"Cozart, Zack","446359","364","14.8",35.7,"108.3","85.8","89.5","82.6","433","183","391","105",28.9,"16",4.4,3.2
"Escobar, Eduardo","500871","363","17.8",37.2,"108.4","86.5","90.6","83.1","438","197","404","111",30.6,"30",8.3,6
"Joyce, Matt","459964","363","15.1",38,"109.7","88.2","93.4","82.6","438","202","403","125",34.4,"32",8.8,5.9
"Cabrera, Miguel","408234","362","12.4",41.7,"111.5","91.1","95.4","86.3","451","190","388","174",48.2,"38",10.5,7.2
"Gonzalez, Marwin","503556","361","11.7",29.4,"109.8","88.7","93.7","84.4","443","167","386","132",36.6,"24",6.6,4.7
"Bradley Jr., Jackie","598265","360","9.5",30.6,"110.6","88.3","94.4","84","441","160","407","144",40,"27",7.5,5
"Pérez, Hernán","541650","359","10.3",29.2,"108.5","84.9","90.4","81.9","423","153","398","99",27.6,"11",3.1,2.4
"González, Carlos","471865","357","6.2",28.9,"117.1","87.5","93","84.7","478","159","415","132",37,"21",5.9,3.9
"Gordon, Alex","460086","356","13.8",34.6,"109.6","86.3","92.4","80.6","433","172","390","110",31.3,"16",4.5,3
"Sánchez, Gary","596142","355","13.1",33.5,"115.7","90.8","95.9","87.6","493","175","416","152",42.9,"42",11.8,8
"Pollock, AJ","572041","354","8.5",35,"108.7","88.1","94.2","83.5","433","169","406","135",38.4,"20",5.6,4.3
"Frazier, Todd","453943","354","20.3",33.1,"109.8","87.5","93.3","83.1","441","196","402","107",30.3,"34",9.6,5.9
"Schebler, Scott","594988","353","11.6",30,"111.2","89.1","95.6","85.3","457","172","405","144",40.8,"36",10.2,6.8
"Castro, Starlin","516770","353","6.9",30.6,"110.4","87.4","93.3","84.1","452","150","398","129",36.5,"16",4.5,3.4
"Frazier, Adam","624428","353","9.2",37.1,"111.9","85.8","87.9","84.3","432","158","401","84",24.2,"7",2,1.5
"Santana, Domingo","570267","350","10.5",40.6,"113.7","89.2","93.2","85.8","476","175","393","141",40.4,"33",9.4,5.4
"Gennett, Scooter","571697","349","13.2",34.7,"106.8","86.4","92.1","80.7","452","179","393","123",35.3,"23",6.6,4.6
"Reynolds, Mark","448602","348","11.8",36.5,"112.1","87.2","93.2","82","482","182","419","125",35.9,"29",8.3,4.9
"Freeman, Freddie","518692","347","16",40.1,"109","89.7","93.8","84","443","209","401","146",42.7,"46",13.3,8.9
"Souza Jr., Steven","519306","347","11.7",33.4,"116.2","88.8","94.8","83.4","455","181","408","133",38.6,"40",11.5,6.5
"Drury, Brandon","592273","344","7.7",33.7,"111.7","88.2","93.8","84.2","444","160","408","132",38.7,"17",4.9,3.5
"Kemp, Matt","461314","340","8.4",39.1,"111.9","88.3","93.6","83.7","423","171","395","131",38.8,"32",9.4,6.9
"Judge, Aaron","592450","338","15.8",38.2,"121.1","95","100.5","88.6","496","216","413","185",54.7,"87",25.7,12.8
"Bellinger, Cody","641355","337","17.5",35.3,"112.8","90.8","96.6","84.7","447","199","404","153",45.7,"41",12.2,7.5
"Valencia, Danny","502143","336","8.9",31.5,"114","88.2","92.8","86.2","434","159","404","125",37.5,"19",5.7,3.8
"Parra, Gerardo","467827","334","8.3",37.7,"106.1","86","90.8","81.2","436","171","398","99",29.7,"7",2.1,1.6
"Correa, Carlos","621043","334","9.3",38.6,"112","90.5","95.2","86.7","449","173","399","150",44.9,"31",9.3,6.4
"Báez, Javier","595879","333","10.1",28.2,"113.3","87.9","94","84.4","463","168","410","119",36,"28",8.4,5.5
"Alonso, Yonder","475174","333","19.4",35.7,"111.5","89.2","93.4","86.1","436","197","402","137",41.1,"33",9.9,6.3
"Turner, Trea","607208","333","7.1",29.1,"111.9","89.1","94","86.3","437","160","402","130",39.2,"18",5.4,4
"Goins, Ryan","572365","332","9.9",27.1,"107","86.2","90.8","83.9","439","153","400","98",29.6,"10",3,2.2
"Pham, Tommy","502054","332","6.9",34.3,"111.6","89.6","94.6","86.4","443","151","407","145",43.7,"31",9.3,5.8
"Wieters, Matt","446308","332","12.4",34.3,"106","85.7","91.1","81.2","434","171","410","96",29.3,"13",3.9,2.8
"Martinez, Victor","400121","331","13.3",37.8,"107.1","88.7","92.7","85.1","420","182","381","114",34.5,"18",5.4,4.1
"Granderson, Curtis","434158","329","20.2",33.1,"109.2","87.7","93","82.4","431","202","398","111",34.4,"36",10.9,6.8
"Gyorko, Jedd","576397","328","15.5",32.3,"110.6","86.4","92.6","81.3","450","179","394","102",31.5,"26",7.9,5.4
"Harper, Bryce","547180","324","14.1",35.5,"116.3","91.1","95.3","88.5","451","184","407","136",42.6,"37",11.4,7.5
"Heredia, Guillermo","628338","324","10.2",29,"107.8","84.6","88.2","83.2","409","151","387","74",22.8,"5",1.5,1.2
"Fowler, Dexter","451594","323","13.1",40.2,"112.4","88.5","92.3","84.6","429","192","397","118",36.9,"21",6.5,4.3
"Polanco, Gregory","570256","320","13.1",30.3,"112.1","86.5","91.6","84.6","434","174","407","98",30.6,"12",3.8,2.9
"Spangenberg, Cory","605486","319","9.9",35.4,"108.8","87.1","91.6","83.5","432","156","406","91",29,"14",4.4,2.9
"Maldonado, Martín","455117","319","12.9",26.3,"110.4","85.4","91","81.9","447","162","405","100",31.3,"18",5.6,3.8
"Buxton, Byron","621439","319","15.2",31.7,"110.9","88.1","92.7","83.1","441","176","403","101",32,"18",5.6,3.5
"Trout, Mike","545361","316","18",36.4,"114.7","88.8","94.3","84.1","448","199","411","126",39.9,"42",13.3,8.3
"Freese, David","501896","314","3.1",31.2,"110.2","88.9","94","86.1","449","141","397","134",42.9,"20",6.4,4
"Story, Trevor","596115","313","19.2",37.1,"110.1","89.4","93.8","84.7","438","208","407","120",38.3,"33",10.5,5.9
"Dietrich, Derek","518618","312","16.7",32.1,"110.8","85.9","90.1","82","425","192","391","102",32.7,"18",5.8,3.9
"Grandal, Yasmani","518735","312","12.6",34.3,"109.3","88.2","93.8","84.3","425","177","389","121",38.8,"23",7.4,4.8
"Walker, Neil","435522","311","17",35.4,"109.8","85.9","90.1","82.6","431","182","400","97",31.3,"15",4.8,3.3
