Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Jared Hughes,NYM,38,18,0,0,0,22.1,23,12,21,14,3,1,2,0,0,2,4.84,1.66
Alex Colome,CWS,34,21,0,0,0,22.1,13,2,16,8,0,2,0,12,1,0,0.81,0.94
Nick Vincent,MIA,37,21,0,0,0,22.1,23,11,17,6,5,1,2,3,0,0,4.43,1.3
Geoff Hartlieb,PIT,29,21,0,0,0,22.1,16,9,19,19,1,1,0,0,0,5,3.63,1.57
Genesis Cabrera,STL,27,19,0,0,0,22.1,10,6,32,16,3,4,1,1,0,2,2.42,1.16
Caleb Baragar,SF,29,24,1,0,0,22.1,17,10,19,5,3,5,1,0,1,2,4.03,0.99
Wes Benjamin,TEX,30,8,1,0,0,22.1,24,12,21,7,4,2,1,0,0,0,4.84,1.39
Tyler Zuber,KC,28,23,0,0,0,22,15,10,30,20,4,1,2,0,0,0,4.09,1.59
Jake Newberry,KC,29,20,0,0,0,22,20,10,24,12,3,1,0,1,0,1,4.09,1.45
Brad Hand,CLE,33,23,0,0,0,22,13,5,29,4,0,2,1,16,0,1,2.05,0.77
Emilio Pagan,SD,32,22,0,0,0,22,14,11,23,9,4,0,1,2,5,7,4.5,1.05
Paul Fry,BAL,31,22,0,0,0,22,22,6,29,9,3,1,0,0,0,4,2.45,1.41
Luis Cessa,NYY,31,16,0,0,0,21.2,20,8,17,7,2,0,0,1,0,1,3.32,1.25
A.J. Minter,ATL,30,22,0,0,0,21.2,15,2,24,9,1,1,1,0,0,5,0.83,1.11
Tyler Webb,STL,33,21,0,0,0,21.2,17,5,19,7,2,1,1,1,2,2,2.08,1.11
Jonathan Holder,NYY,30,18,0,0,0,21.2,25,12,14,11,3,3,0,0,0,0,4.98,1.66
Huascar Ynoa,ATL,25,9,5,0,0,21.2,23,14,17,13,2,0,0,0,0,0,5.82,1.66
Hector Neris,PHI,34,24,0,0,0,21.2,24,11,27,13,0,2,2,5,3,4,4.57,1.71
Mitch Keller,PIT,27,5,5,0,0,21.2,9,7,16,18,4,1,1,0,0,0,2.91,1.25
Yusmeiro Petit,OAK,39,26,0,0,0,21.2,19,4,17,5,3,2,1,0,0,7,1.66,1.11
Nik Turley,PIT,34,25,0,0,0,21.2,13,12,20,11,1,0,3,1,3,3,4.98,1.11
Diego Castillo,TB,29,22,0,0,0,21.2,12,4,23,11,3,3,0,4,1,5,1.66,1.06
Bryan Garcia,DET,28,26,0,0,0,21.2,18,4,12,10,0,2,1,4,2,3,1.66,1.29
Phil Maton,CLE,30,23,0,0,0,21.2,23,11,32,6,1,3,3,0,1,4,4.57,1.34
Adbert Alzolay,CHC,28,6,4,0,0,21.1,12,7,29,13,1,1,1,0,0,0,2.95,1.17
Jake Diekman,OAK,36,21,0,0,0,21.1,8,1,31,12,1,2,0,0,1,13,0.42,0.94
Mike Minor,OAK,35,5,4,1,1,21.1,15,13,27,7,4,1,1,0,0,0,5.48,1.03
Jeff Hoffman,COL,30,16,0,0,0,21.1,32,22,20,9,3,2,1,1,0,0,9.28,1.92
Buck Farmer,DET,32,23,0,0,0,21.1,20,9,14,5,3,1,0,0,1,7,3.8,1.17
Sam Howard,PIT,30,22,0,0,0,21,17,9,27,9,4,2,3,0,2,4,3.86,1.24
Jake Woodford,STL,27,12,1,0,0,21,20,13,16,5,7,1,0,0,0,0,5.57,1.19
Rony Garcia,DET,25,15,2,0,0,21,25,19,14,9,7,1,0,0,0,0,8.14,1.62
Anthony Kay,TOR,28,13,0,0,0,21,22,12,22,14,3,2,0,0,0,2,5.14,1.71
Noe Ramirez,LAA,33,21,0,0,0,21,15,7,14,9,2,1,0,0,1,0,3,1.14
Ryan Pressly,HOU,34,23,0,0,0,21,21,8,29,7,2,1,3,12,4,0,3.43,1.33
Ryan Tepera,CHC,36,21,0,0,0,20.2,17,9,31,12,2,0,1,0,1,2,3.92,1.4
Duane Underwood,CHC,29,17,0,0,0,20.2,25,13,27,6,5,1,0,0,0,1,5.66,1.5
Robbie Ray,TOR,32,5,4,0,0,20.2,22,11,25,14,4,1,1,0,0,0,4.79,1.74
Daniel Hudson,WAS,36,21,0,0,0,20.2,15,14,28,11,6,3,2,10,5,0,6.1,1.26
T.J. McFarland,OAK,34,23,0,0,0,20.2,26,10,9,5,5,2,0,0,0,6,4.35,1.5
Nick Nelson,NYY,27,11,0,0,0,20.2,20,11,18,11,4,1,0,0,0,0,4.79,1.5
Tanner Scott,BAL,29,25,0,0,0,20.2,12,3,23,10,1,0,0,1,1,5,1.31,1.06
Matt Strahm,SD,32,19,0,0,0,20.2,14,6,15,4,3,0,1,0,2,3,2.61,0.87
Blake Taylor,HOU,28,22,0,0,0,20.2,13,5,17,12,2,2,1,1,1,5,2.18,1.21
Enoli Paredes,HOU,28,22,0,0,0,20.2,18,7,20,11,1,3,3,0,2,5,3.05,1.4
Yohan Ramirez,SEA,28,16,0,0,0,20.2,9,6,26,20,3,0,0,3,0,1,2.61,1.4
Victor Gonzalez,LAD,28,15,1,0,0,20.1,13,3,23,2,0,3,0,0,0,2,1.33,0.74
Jeffrey Springs,BOS,31,16,0,0,0,20.1,30,16,28,7,5,0,2,0,1,1,7.08,1.82
Tanner Rainey,WAS,30,20,0,0,0,20.1,8,6,32,7,4,1,1,0,0,9,2.66,0.74
Jake McGee,LAD,37,24,0,0,0,20.1,14,6,33,3,2,3,1,0,0,4,2.66,0.84
James Paxton,NYY,35,5,5,0,0,20.1,23,15,26,7,4,1,1,0,0,0,6.64,1.48
Hector Rondon,ARI,35,23,0,0,0,20,25,17,23,11,6,1,0,0,1,7,7.65,1.8
Sergio Romo,MIN,40,24,0,0,0,20,16,9,23,7,3,1,2,5,1,10,4.05,1.15
Carlos Martinez,STL,32,5,5,0,0,20,32,22,17,10,6,0,3,0,0,0,9.9,2.1
Steve Cishek,CWS,37,22,0,0,0,20,21,12,21,9,4,0,0,0,1,0,5.4,1.5
Pierce Johnson,SD,32,24,0,0,0,20,15,6,27,9,2,3,1,0,0,1,2.7,1.2
Caleb Thielbar,MIN,36,17,0,0,0,20,14,5,22,9,0,2,1,0,0,1,2.25,1.15
Taylor Rogers,MIN,32,21,0,0,0,20,26,9,24,4,2,2,4,9,2,2,4.05,1.5
Jairo Diaz,COL,32,24,0,0,0,20,31,17,17,14,4,1,2,4,0,3,7.65,2.25
Taylor Widener,ARI,29,12,0,0,0,20,14,10,22,12,5,0,1,0,0,1,4.5,1.3
Anthony Misiewicz,SEA,29,21,0,0,0,20,20,9,25,6,2,0,2,0,1,8,4.05,1.3
Jimmy Herget,TEX,30,20,1,0,0,19.2,13,7,17,14,2,1,0,0,1,1,3.2,1.37
Yoan Lopez,ARI,30,20,0,0,0,19.2,21,13,16,9,4,0,1,0,0,1,5.95,1.53
Chi Chi Gonzalez,COL,31,6,4,0,0,19.2,22,15,16,10,3,0,2,0,0,0,6.86,1.63
Alex Reyes,STL,29,15,1,0,0,19.2,14,7,27,14,1,2,1,1,0,2,3.2,1.42
Jace Fry,CWS,30,18,0,0,0,19.2,16,8,24,12,3,0,1,0,0,1,3.66,1.42
Austin Brice,BOS,31,21,1,0,0,19.2,17,13,25,13,3,1,0,0,0,4,5.95,1.53
Ross Detwiler,CWS,37,16,0,0,0,19.2,19,7,15,5,2,1,1,0,0,1,3.2,1.22
Justin Wilson,NYM,36,23,0,0,0,19.2,18,8,23,9,1,2,1,0,0,10,3.66,1.37
Sam Selman,SF,33,24,0,0,0,19.1,13,8,23,9,2,1,1,1,0,3,3.72,1.14
Adrian Morejon,SD,24,9,4,0,0,19.1,20,10,25,4,7,2,2,0,0,0,4.66,1.24
Jalen Beeks,TB,30,12,0,0,0,19.1,21,7,26,4,1,1,1,1,0,2,3.26,1.29
Dovydas Neverauskas,PIT,30,17,0,0,0,19,24,15,23,10,5,0,3,0,0,0,7.11,1.79
Adam Kolarek,LAD,34,20,0,0,0,19,11,2,13,4,1,3,0,1,0,3,0.95,0.79
Josh Hader,MIL,29,21,0,0,0,19,8,8,31,10,3,1,2,13,2,0,3.79,0.95
Alex Claudio,MIL,31,20,0,0,0,19,18,9,15,6,2,0,0,1,0,1,4.26,1.26
Mike Clevinger,SD,32,4,4,1,1,19,14,6,19,3,1,2,1,0,0,0,2.84,0.89
Ivan Nova,DET,36,4,4,0,0,19,22,18,9,9,4,1,1,0,0,0,8.53,1.63
Zack Britton,NYY,35,20,0,0,0,19,12,4,16,7,0,1,2,8,0,3,1.89,1
Nate Jones,CIN,37,21,0,0,0,18.2,25,13,23,6,5,0,1,0,0,4,6.27,1.66
Tyler Chatwood,CHC,33,5,5,0,0,18.2,22,11,25,9,2,2,2,0,0,0,5.3,1.66
Drew Pomeranz,SD,35,20,0,0,0,18.2,9,3,29,10,1,1,0,4,1,9,1.45,1.02
Kendall Graveman,SEA,32,11,2,0,0,18.2,15,12,15,8,2,1,3,0,1,5,5.79,1.23
Caleb Ferguson,LAD,27,21,1,0,0,18.2,16,6,27,3,4,2,1,0,2,5,2.89,1.02
Dean Kremer,BAL,27,4,4,0,0,18.2,15,10,22,12,0,1,1,0,0,0,4.82,1.45
Riley Smith,ARI,28,6,0,0,0,18.1,15,3,18,5,1,2,0,0,0,0,1.47,1.09
Cam Hill,CLE,29,18,0,0,0,18.1,11,10,16,5,4,2,0,1,0,2,4.91,0.87
Amir Garrett,CIN,31,21,0,0,0,18.1,10,5,26,7,4,1,0,1,1,7,2.45,0.93
Jarlin Garcia,SF,30,19,0,0,0,18.1,11,1,14,7,0,2,1,0,0,6,0.49,0.98
Dan Winkler,CHC,33,18,0,0,0,18.1,11,6,18,11,3,0,0,0,1,1,2.95,1.2
Adam Ottavino,NYY,38,24,0,0,0,18.1,20,12,25,9,2,2,3,0,3,2,5.89,1.58
Oliver Perez,CLE,42,21,0,0,0,18,13,4,14,6,0,1,1,1,1,3,2,1.06
Brad Boxberger,MIA,35,23,0,0,0,18,17,6,18,8,3,1,0,0,1,5,3,1.39
Tony Watson,SF,38,21,0,0,0,18,13,5,15,3,3,1,0,2,0,10,2.5,0.89
Chris Martin,ATL,37,19,0,0,0,18,8,2,20,3,1,1,1,1,0,6,1,0.61
Nate Pearson,TOR,27,5,4,0,0,18,14,12,16,13,5,1,0,0,0,0,6,1.5
Jacob Barnes,LAA,33,18,0,0,0,18,19,11,24,4,1,0,2,0,0,1,5.5,1.28
Tim Hill,SD,33,23,0,0,0,18,17,9,20,6,3,3,0,0,0,5,4.5,1.28
Jacob Waguespack,TOR,30,11,0,0,0,17.2,27,16,16,9,2,0,0,0,0,1,8.15,2.04
Rafael Montero,TEX,33,17,0,0,0,17.2,12,8,19,6,2,0,1,8,0,0,4.08,1.02
Will Harris,WAS,39,20,0,0,0,17.2,21,6,21,9,3,0,1,1,3,6,3.06,1.7
Jesse Hahn,KC,34,18,0,0,0,17.1,4,1,19,8,0,1,0,3,0,5,0.52,0.69
Luis Perdomo,SD,30,10,1,0,0,17.1,13,11,16,10,3,0,0,0,0,0,5.71,1.33
Cal Quantrill,SD,28,10,1,0,0,17.1,17,5,18,6,2,2,0,1,0,1,2.6,1.33
Taylor Hearn,TEX,29,14,0,0,0,17.1,13,7,23,11,2,0,0,0,0,0,3.63,1.38
Rowan Wick,CHC,31,19,0,0,0,17.1,18,6,20,6,1,0,1,4,0,5,3.12,1.38
Cy Sneed,HOU,31,18,0,0,0,17.1,22,11,21,10,3,0,3,0,2,3,5.71,1.85
Kyle Funkhouser,DET,29,13,0,0,0,17.1,22,14,12,11,3,1,1,0,0,0,7.27,1.9
Josh James,HOU,30,13,2,0,0,17.1,15,14,21,17,4,1,0,0,2,4,7.27,1.85
Luis Patino,SD,24,11,1,0,0,17.1,18,10,21,14,3,1,0,0,0,1,5.19,1.85
Cody Ponce,PIT,29,5,3,0,0,17,12,6,12,6,5,1,1,0,0,0,3.18,1.06
Tanner Houck,BOS,27,3,3,0,0,17,6,1,21,9,1,3,0,0,0,0,0.53,0.88
Dennis Santana,LAD,27,12,0,0,0,17,15,10,18,7,4,1,2,0,1,0,5.29,1.29
Jesse Chavez,TEX,40,18,0,0,0,17,20,13,13,7,6,0,0,0,3,2,6.88,1.59
Pedro Baez,LAD,35,18,0,0,0,17,10,6,13,7,2,0,0,2,0,6,3.18,1
Jeff Samardzija,SF,38,4,4,0,0,16.2,21,18,6,4,7,0,2,0,0,0,9.72,1.5
Hansel Robles,LAA,33,18,0,0,0,16.2,19,19,20,10,4,0,2,1,2,0,10.26,1.74
Ryan Borucki,TOR,29,21,0,0,0,16.2,12,5,21,12,1,1,1,0,1,4,2.7,1.44
Dillon Tate,BAL,29,12,0,0,0,16.2,9,6,14,5,1,1,1,0,0,2,3.24,0.84
Lewis Thorpe,MIN,28,7,1,0,0,16.1,24,11,10,10,4,0,1,0,0,0,6.06,2.08
Wilmer Font,TOR,33,21,0,0,0,16.1,28,18,15,9,2,1,3,0,1,2,9.92,2.27
Darren O'Day,ATL,41,19,0,0,0,16.1,8,2,22,5,1,4,0,0,1,2,1.1,0.8
Nick Anderson,TB,33,19,0,0,0,16.1,5,1,26,3,1,2,1,6,0,6,0.55,0.49
Devin Smeltzer,MIN,28,7,1,0,0,16,19,12,15,5,2,2,0,0,0,0,6.75,1.5
Kevin Ginkel,ARI,29,19,0,0,0,16,21,12,18,13,3,0,2,1,1,0,6.75,2.13
Will Smith,ATL,34,18,0,0,0,16,11,8,18,4,7,2,2,0,1,5,4.5,0.94
Brooks Raley,HOU,35,17,0,0,0,16,8,7,21,4,3,0,1,1,0,6,3.94,0.75
Blake Parker,PHI,38,14,1,0,0,16,12,5,25,9,2,3,0,0,1,1,2.81,1.31
Javy Guerra,WAS,38,14,0,0,0,15.2,19,7,13,7,2,0,0,0,0,5,4.02,1.66
Kyle Ryan,CHC,32,18,0,0,0,15.2,16,9,11,6,5,1,0,1,0,4,5.17,1.4
Ross Stripling,TOR,34,5,2,0,0,15.2,18,11,13,7,1,0,2,1,0,0,6.32,1.6
Nick Tropeano,PIT,33,7,0,0,0,15.2,14,2,19,4,1,1,0,0,0,0,1.15,1.15
Josh Osich,BOS,35,13,1,0,0,15.2,16,10,20,5,6,1,1,0,0,1,5.74,1.34
Miguel Castro,BAL,28,16,0,0,0,15.2,17,7,24,5,3,1,0,1,2,4,4.02,1.4
Bryse Wilson,ATL,25,6,2,0,0,15.2,18,7,15,9,2,1,0,1,0,0,4.02,1.72
John Schreiber,DET,29,15,0,0,0,15.2,19,11,14,4,2,0,1,0,1,1,6.32,1.47
Ljay Newsome,SEA,27,5,4,0,0,15.2,20,9,9,1,4,0,1,0,0,0,5.17,1.34
Joey Gerber,SEA,26,17,0,0,0,15.2,13,7,6,5,1,1,1,0,1,4,4.02,1.15
Drew Rasmussen,MIL,28,12,0,0,0,15.1,17,10,21,9,3,1,0,0,0,0,5.87,1.7
Shaun Anderson,SF,29,18,0,0,0,15.1,10,6,18,12,3,0,0,0,0,2,3.52,1.43
Craig Kimbrel,CHC,35,18,0,0,0,15.1,10,9,28,12,2,0,1,2,1,3,5.28,1.43
Giovanny Gallegos,STL,32,16,0,0,0,15,9,6,21,4,1,2,2,4,0,1,3.6,0.87
Shawn Armstrong,BAL,33,14,0,0,0,15,9,3,14,3,1,2,0,0,0,3,1.8,0.8
John Gant,STL,31,17,0,0,0,15,9,4,18,7,0,0,3,0,0,5,2.4,1.07
Yimi Garcia,MIA,33,14,0,0,0,15,9,1,19,5,0,3,0,1,1,4,0.6,0.93
Brady Lail,SEA,30,7,0,0,0,15,12,8,11,7,5,0,0,0,0,0,4.8,1.27
Cody Stashak,MIN,29,11,0,0,0,15,11,5,17,3,2,1,0,0,0,5,3,0.93
Carlos Hernandez,KC,26,5,3,0,0,14.2,19,8,13,6,4,0,1,0,0,0,4.91,1.7
Jordan Romano,TOR,30,15,0,0,0,14.2,8,2,21,5,2,2,1,2,1,5,1.23,0.89
Brett Martin,TEX,28,15,0,0,0,14.2,8,3,8,9,2,1,1,0,0,2,1.84,1.16
Sam Coonrod,SF,31,18,0,0,0,14.2,17,16,15,7,2,0,2,3,2,2,9.82,1.64
Cal Quantrill,CLE,28,8,2,0,0,14.2,14,3,13,2,2,0,0,0,1,1,1.84,1.09
James Hoyt,MIA,37,24,0,0,0,14.2,9,2,20,8,1,2,0,0,0,5,1.23,1.16
Cam Bedrosian,LAA,32,11,0,0,0,14.2,10,4,11,6,0,0,0,0,0,0,2.45,1.09
Erasmo Ramirez,NYM,33,6,0,0,0,14.1,8,1,9,4,1,0,0,1,0,0,0.63,0.84
Wade Miley,CIN,37,6,4,0,0,14.1,15,9,12,9,1,0,3,0,0,0,5.65,1.67
Cesar Valdez,BAL,38,9,0,0,0,14.1,7,2,12,3,0,1,1,3,0,0,1.26,0.7
Evan Phillips,BAL,29,14,0,0,0,14.1,14,8,20,10,1,1,1,0,0,2,5.02,1.67
Ian Kennedy,KC,38,15,1,0,0,14,20,14,15,5,7,0,2,0,0,2,9,1.79
Dylan Covey,BOS,32,8,0,0,0,14,18,11,11,2,2,0,0,0,0,1,7.07,1.43
Jordan Weems,OAK,31,9,0,0,0,14,10,5,18,7,1,0,0,0,0,0,3.21,1.21
Mike Kickham,BOS,34,6,2,0,0,14,21,12,17,5,6,1,1,0,0,0,7.71,1.86
Robert Gsellman,NYM,30,6,4,0,0,14,22,15,9,8,4,0,0,0,0,1,9.64,2.14
Colin Rea,CHC,33,9,2,0,0,14,15,9,10,2,3,1,1,0,0,1,5.79,1.21
Michael Soroka,ATL,26,3,3,0,0,13.2,11,6,8,7,0,0,1,0,0,0,3.95,1.32
Sean Newcomb,ATL,30,4,4,0,0,13.2,20,17,10,6,4,0,2,0,0,0,11.2,1.9
Taylor Williams,SEA,32,14,0,0,0,13.2,12,9,19,7,1,1,1,6,0,1,5.93,1.39
Jason Adam,CHC,32,13,0,0,0,13.2,9,5,21,8,2,2,1,0,0,0,3.29,1.24
Trevor Rosenthal,KC,33,14,0,0,0,13.2,9,5,21,7,2,0,0,7,0,1,3.29,1.17
Richard Bleier,MIA,36,19,0,0,0,13.2,13,4,7,4,0,1,1,0,0,6,2.63,1.24
Jake Odorizzi,MIN,33,4,4,0,0,13.2,16,10,12,3,4,0,1,0,0,0,6.59,1.39
Robert Stock,BOS,33,10,0,0,0,13.1,16,7,14,10,0,0,1,0,0,0,4.73,1.95
Hoby Milner,LAA,32,19,0,0,0,13.1,13,12,13,6,5,0,0,0,0,1,8.1,1.43
Corey Knebel,MIL,32,15,0,0,0,13.1,15,9,15,8,4,0,0,0,2,0,6.08,1.73
Marcus Walden,BOS,35,15,0,0,0,13.1,23,14,10,9,5,0,2,1,0,2,9.45,2.4
Javy Guerra,SD,28,14,0,0,0,13.1,25,15,12,5,1,1,0,0,0,2,10.13,2.25
Adam Morgan,PHI,33,17,0,0,0,13,14,8,16,6,3,0,1,0,2,2,5.54,1.54
Mychal Givens,BAL,33,12,0,0,0,13,7,2,19,6,1,0,1,0,0,5,1.38,1
David Phelps,MIL,37,12,0,0,0,13,7,4,20,2,2,2,3,0,1,4,2.77,0.69
Brandon Workman,PHI,35,14,0,0,0,13,23,10,15,9,4,1,4,5,3,1,6.92,2.46
Andrew Miller,STL,38,16,0,0,0,13,9,4,16,5,0,1,1,4,1,2,2.77,1.08
Corey Oswalt,NYM,30,4,1,0,0,13,14,7,11,2,3,0,0,0,0,0,4.85,1.23
Julian Merryweather,TOR,32,8,3,0,0,13,11,6,15,6,0,0,0,0,0,1,4.15,1.31
Alex Wood,LAD,32,9,2,0,0,12.2,17,9,15,6,2,0,1,0,0,1,6.39,1.82
Joely Rodriguez,TEX,32,12,0,0,0,12.2,8,3,17,5,0,0,0,0,1,3,2.13,1.03
Yoshihisa Hirano,SEA,39,13,0,0,0,12.1,18,8,11,8,2,0,1,4,0,1,5.84,2.11
Daniel Mengden,OAK,30,4,1,0,0,12.1,14,5,10,7,2,0,1,0,0,0,3.65,1.7
Brad Brach,NYM,37,14,0,0,0,12.1,8,8,14,14,2,1,0,0,1,0,5.84,1.78
Scott Alexander,LAD,34,13,0,0,0,12.1,9,4,9,9,2,2,0,0,2,4,2.92,1.46
Luis Garcia,HOU,26,5,1,0,0,12.1,7,4,9,5,1,0,1,0,0,0,2.92,0.97
Ian Gibaut,TEX,30,14,0,0,0,12.1,11,9,14,9,2,0,1,0,1,2,6.57,1.62
Burch Smith,OAK,33,6,0,0,0,12,7,3,13,1,1,2,0,1,0,0,2.25,0.67
Keynan Middleton,LAA,30,13,0,0,0,12,12,7,11,6,2,0,1,0,0,2,5.25,1.5
Ryan Helsley,STL,29,12,0,0,0,12,8,7,10,8,3,1,1,1,2,2,5.25,1.33
Dan Altavilla,SEA,31,13,0,0,0,11.2,12,10,14,7,3,1,2,1,0,1,7.71,1.63
Trevor Gott,SF,31,15,0,0,0,11.2,13,13,8,8,7,1,2,4,2,3,10.03,1.8
Matt Harvey,KC,34,7,4,0,0,11.2,27,15,10,5,6,0,3,0,0,0,11.57,2.74
Dellin Betances,NYM,35,15,0,0,0,11.2,12,10,11,12,0,0,1,0,0,4,7.71,2.06
Aroldis Chapman,NYY,36,13,0,0,0,11.2,6,4,22,4,2,1,1,3,2,0,3.09,0.86
Seth Elledge,STL,27,12,0,0,0,11.2,11,6,14,8,2,1,0,0,0,0,4.63,1.63
Yonny Chirinos,TB,29,3,3,0,0,11.1,14,3,10,4,2,0,0,0,0,0,2.38,1.59
Jordan Yamamoto,MIA,27,4,3,0,0,11.1,27,23,13,7,8,0,1,0,0,0,18.26,3
Conner Menez,SF,28,7,0,0,0,11.1,6,3,8,5,2,1,0,0,0,0,2.38,0.97
Connor Brogdon,PHI,28,9,0,0,0,11.1,5,5,17,5,3,1,0,0,0,0,3.97,0.88
Dakota Bacus,WAS,32,11,0,0,0,11.1,14,10,7,9,1,0,0,0,0,2,7.94,2.03
Adam Cimber,CLE,33,14,0,0,0,11.1,13,5,5,2,1,0,1,0,0,3,3.97,1.32
Franklyn Kilome,NYM,28,4,0,0,0,11.1,14,14,13,9,5,0,1,1,0,0,11.12,2.03
T.J. Zeuch,TOR,28,3,1,0,0,11.1,9,2,3,4,1,1,0,0,0,0,1.59,1.15
Eric Lauer,MIL,28,4,2,0,0,11,17,16,12,9,2,0,2,0,0,0,13.09,2.36
Kyle McGowin,WAS,32,9,0,0,0,11,9,6,16,5,2,1,0,1,0,1,4.91,1.27
Caleb Smith,ARI,32,4,3,0,0,11,5,3,12,6,2,0,0,0,0,0,2.45,1
Nick Goody,TEX,32,17,1,0,0,11,14,11,13,8,3,0,2,1,2,0,9,2
Stephen Tarpley,MIA,30,12,0,0,0,11,11,11,11,8,2,2,2,1,0,2,9,1.73
Oliver Drake,TB,36,11,0,0,0,11,7,7,7,6,2,0,2,2,2,1,5.73,1.18
David Hale,PHI,36,6,2,0,0,11,16,5,7,1,2,0,0,0,0,0,4.09,1.55
Kyle Hart,BOS,31,4,3,0,0,11,24,19,13,10,4,0,1,0,0,0,15.55,3.09
Robert Dugger,MIA,28,4,1,0,0,10.2,21,15,4,3,5,0,0,0,0,0,12.66,2.25
Humberto Castellanos,HOU,25,8,0,0,0,10.2,12,8,12,5,2,0,1,0,1,0,6.75,1.59
Archie Bradley,ARI,31,10,0,0,0,10.2,13,5,12,3,0,1,0,6,1,0,4.22,1.5
Nick Ramirez,DET,34,5,0,0,0,10.2,8,7,11,4,3,0,0,0,0,0,5.91,1.13
Logan Allen,CLE,26,3,0,0,0,10.2,12,4,7,7,1,0,0,0,0,0,3.38,1.78
JoJo Romero,PHI,27,12,0,0,0,10.2,13,9,10,2,1,0,0,0,0,4,7.59,1.41
Matt Magill,SEA,34,11,0,0,0,10.1,9,7,11,6,3,0,1,0,2,2,6.1,1.45
John King,TEX,29,6,0,0,0,10.1,13,7,9,4,2,1,0,0,1,0,6.1,1.65
Humberto Mejia,MIA,26,3,3,0,0,10,13,6,11,6,3,0,2,0,0,0,5.4,1.9
Rico Garcia,SF,29,12,0,0,0,10,13,6,7,4,1,1,1,0,1,2,5.4,1.7
Jacob Webb,ATL,30,8,0,0,0,10,7,0,10,5,0,0,0,0,0,0,0,1.2
Jose Quintana,CHC,34,4,1,0,0,10,10,5,12,3,1,0,0,0,0,0,4.5,1.3
Trevor Rosenthal,SD,33,9,0,0,0,10,3,0,17,1,0,1,0,4,1,0,0,0.4
Casey Sadler,SEA,33,7,0,0,0,10,7,5,12,4,1,1,2,0,0,1,4.5,1.1
Robert Stephenson,CIN,30,10,0,0,0,10,11,11,13,3,8,0,0,0,0,1,9.9,1.4
Ryne Stanek,MIA,32,9,0,0,0,10,11,8,11,8,3,0,0,0,0,0,7.2,1.9
Joe Kelly,LAD,35,12,1,0,0,10,8,2,9,7,0,0,0,0,0,3,1.8,1.5
Nick Pivetta,BOS,30,2,2,0,0,10,8,2,13,5,1,2,0,0,0,0,1.8,1.3
Keury Mella,ARI,30,11,0,0,0,10,10,2,10,3,1,2,0,0,0,0,1.8,1.3
Andrew Suarez,SF,31,6,0,0,0,9.2,9,4,5,6,1,0,0,0,0,0,3.72,1.55
Dominic Leone,CLE,32,12,0,0,0,9.2,14,9,16,5,3,0,0,0,0,3,8.38,1.97
Tom Milone,ATL,36,3,3,0,0,9.2,22,16,9,2,4,0,0,0,0,0,14.9,2.48
Heath Hembree,BOS,34,11,0,0,0,9.2,9,6,10,3,2,2,0,0,1,1,5.59,1.24
Ramon Rosso,PHI,27,7,1,0,0,9.2,9,7,11,8,1,0,1,0,0,0,6.52,1.76
Ryan Sherriff,TB,33,10,0,0,0,9.2,6,0,2,2,0,1,0,1,0,1,0,0.83
Aaron Bummer,CWS,30,9,0,0,0,9.1,5,1,14,5,0,1,0,0,0,3,0.96,1.07
Heath Hembree,PHI,34,11,0,0,0,9.1,17,13,10,5,7,1,0,0,0,2,12.54,2.36
Casey Sadler,CHC,33,10,0,0,0,9.1,8,6,9,8,2,0,0,0,0,4,5.79,1.71
Mychal Givens,COL,33,10,0,0,0,9.1,9,7,6,4,4,1,0,1,2,1,6.75,1.39
Chaz Roe,TB,37,10,0,0,0,9.1,10,3,9,3,0,2,0,1,0,2,2.89,1.39
Cody Reed,CIN,30,9,0,0,0,9.1,10,6,10,8,2,0,1,0,0,0,5.79,1.93
J.P. Feyereisen,MIL,30,6,0,0,0,9.1,4,6,7,5,3,0,0,0,0,0,5.79,0.96
Jose Alvarado,TB,28,9,0,0,0,9,9,6,13,6,2,0,0,0,0,1,6,1.67
Miguel Castro,NYM,28,10,0,0,0,9,11,4,14,8,1,1,2,0,0,1,4,2.11
Brandon Leibrandt,MIA,30,5,0,0,0,9,3,2,3,7,0,0,0,0,0,0,2,1.11
Nivaldo Rodriguez,HOU,26,5,0,0,0,8.2,15,6,8,6,3,0,1,0,0,0,6.23,2.42
Hunter Harvey,BAL,28,10,0,0,0,8.2,8,4,6,2,2,0,2,0,0,4,4.15,1.15
Matt Hall,BOS,30,4,1,0,0,8.2,17,18,9,10,2,0,3,0,0,0,18.69,3.12
Dan Altavilla,SD,31,9,0,0,0,8.2,6,3,10,5,0,1,1,0,0,2,3.12,1.27
Chance Adams,KC,29,6,0,0,0,8.2,15,9,6,0,1,0,0,0,0,0,9.35,1.73
Wil Crowe,WAS,29,3,3,0,0,8.1,14,11,8,8,5,0,2,0,0,0,11.88,2.64
Darwinzon Hernandez,BOS,26,7,0,0,0,8.1,5,2,13,8,0,1,0,0,0,2,2.16,1.56
Nabil Crismatt,STL,28,6,0,0,0,8.1,6,3,8,1,2,0,0,0,0,0,3.24,0.84
Tyler Bashlor,PIT,30,8,0,0,0,8.1,9,8,6,4,2,0,0,0,0,0,8.64,1.56
Luis Garcia,TEX,36,11,2,0,0,8.1,10,7,11,9,1,0,2,0,0,0,7.56,2.28
