Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3","Top of the 1st, Mets Batting, Tied 0-0, Red Sox' William Cuevas facing 1-2-3"
t5,5-0,2,1--,"1,(0-0) X",O,NYM,Dominic Smith,Brian Johnson,-1%,92%,Flyball: LF (Deep LF)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Mets 5, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Mets 5, Red Sox 0.","0 runs, 1 hit, 0 errors, 1 LOB. Mets 5, Red Sox 0."
"Bottom of the 5th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 7-8-9","Bottom of the 5th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 7-8-9"
b5,0-5,0,---,"5,(1-2) CSBFS",O,BOS,Ian Kinsler,Noah Syndergaard,1%,94%,Strikeout Swinging
b5,0-5,1,---,"4,(1-2) CFBS",O,BOS,Jackie Bradley Jr.,Noah Syndergaard,1%,95%,Strikeout Swinging
b5,0-5,2,---,"6,(3-2) BBBCFB",,BOS,Blake Swihart,Noah Syndergaard,-1%,94%,Walk
b5,0-5,2,1--,"3,(1-1) 11CBX",O,BOS,Mookie Betts,Noah Syndergaard,1%,95%,Flyball: RF (Short CF-RF)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Mets 5, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Mets 5, Red Sox 0.","0 runs, 0 hits, 0 errors, 1 LOB. Mets 5, Red Sox 0."
"Top of the 6th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 8-9-1","Top of the 6th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 8-9-1","Top of the 6th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 8-9-1","Top of the 6th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 8-9-1","Top of the 6th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 8-9-1","Top of the 6th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 8-9-1","Top of the 6th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 8-9-1","Top of the 6th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 8-9-1","Top of the 6th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 8-9-1","Top of the 6th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 8-9-1","Top of the 6th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 8-9-1","Top of the 6th, Mets Batting, Ahead 5-0, Red Sox' Brian Johnson facing 8-9-1"
t6,5-0,0,---,"5,(2-2) BCBFX",O,NYM,Austin Jackson,Brian Johnson,0%,95%,Popfly: 2B (Deep 2B-1B)
t6,5-0,1,---,"4,(0-2) FSFS",O,NYM,Tomás Nido,Brian Johnson,0%,94%,Strikeout Swinging
t6,5-0,2,---,"1,(0-0) X",O,NYM,Amed Rosario,Brian Johnson,0%,94%,Flyball: RF (Deep CF-RF)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Mets 5, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Mets 5, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Mets 5, Red Sox 0."
"Bottom of the 6th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 2-3-4","Bottom of the 6th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 2-3-4","Bottom of the 6th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 2-3-4","Bottom of the 6th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 2-3-4","Bottom of the 6th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 2-3-4","Bottom of the 6th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 2-3-4","Bottom of the 6th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 2-3-4","Bottom of the 6th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 2-3-4","Bottom of the 6th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 2-3-4","Bottom of the 6th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 2-3-4","Bottom of the 6th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 2-3-4","Bottom of the 6th, Red Sox Batting, Behind 0-5, Mets' Noah Syndergaard facing 2-3-4"
b6,0-5,0,---,"2,(1-0) BX",O,BOS,Andrew Benintendi,Noah Syndergaard,1%,95%,Groundout: 2B-1B (Deep 2B-1B)
