Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Bottom of the 4th, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 4-5-6","Bottom of the 4th, Red Sox Batting, Behind 1-3, Indians' Cliff Lee facing 4-5-6"
b4,1-3,0,---,"6,(3-2) FBBFBB",,BOS,Manny Ramirez,Cliff Lee,-5%,63%,Walk
b4,1-3,0,1--,"3,(0-2) FFX",,BOS,Kevin Millar,Cliff Lee,-7%,56%,Single to CF (Line Drive); Ramirez to 2B
b4,1-3,0,12-,"4,(1-2) FFBC",O,BOS,Jason Varitek,Cliff Lee,7%,63%,Strikeout Looking
b4,1-3,1,12-,"1,(0-0) X",O,BOS,Jay Payton,Cliff Lee,5%,68%,Flyball: CF (Deep CF); Ramirez to 3B
b4,1-3,2,1-3,"2,(1-0) BX",O,BOS,Kevin Youkilis,Cliff Lee,6%,74%,Flyball: CF
,,,,,,,,,"0 runs, 1 hit, 0 errors, 2 LOB. Indians 3, Red Sox 1.","0 runs, 1 hit, 0 errors, 2 LOB. Indians 3, Red Sox 1.","0 runs, 1 hit, 0 errors, 2 LOB. Indians 3, Red Sox 1."
"Top of the 5th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 3-4-5","Top of the 5th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 3-4-5","Top of the 5th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 3-4-5","Top of the 5th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 3-4-5","Top of the 5th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 3-4-5","Top of the 5th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 3-4-5","Top of the 5th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 3-4-5","Top of the 5th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 3-4-5","Top of the 5th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 3-4-5","Top of the 5th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 3-4-5","Top of the 5th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 3-4-5","Top of the 5th, Indians Batting, Ahead 3-1, Red Sox' Wade Miller facing 3-4-5"
t5,3-1,0,---,"7,(3-2) CBBFBFX",,CLE,Travis Hafner,Wade Miller,5%,79%,Double to RF (Fly Ball to Deep RF)
t5,3-1,0,-2-,"4,(2-1) BBFX",O,CLE,Victor Martinez,Wade Miller,-3%,76%,Groundout: P-1B
t5,3-1,1,-2-,"5,(2-2) BCBFX",R,CLE,Ben Broussard,Wade Miller,8%,84%,Single to RF (Ground Ball); Hafner Scores; Broussard to 2B/Adv on throw
t5,4-1,1,-2-,"6,(3-2) BSBFBS",O,CLE,Ronnie Belliard,Wade Miller,-2%,82%,Strikeout Swinging
t5,4-1,2,-2-,"2,(1-0) BX",O,CLE,Jody Gerut,Wade Miller,-2%,80%,Flyball: RF (Deep RF)
,,,,,,,,,"1 run, 2 hits, 0 errors, 1 LOB. Indians 4, Red Sox 1.","1 run, 2 hits, 0 errors, 1 LOB. Indians 4, Red Sox 1.","1 run, 2 hits, 0 errors, 1 LOB. Indians 4, Red Sox 1."
"Bottom of the 5th, Red Sox Batting, Behind 1-4, Indians' Cliff Lee facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-4, Indians' Cliff Lee facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-4, Indians' Cliff Lee facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-4, Indians' Cliff Lee facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-4, Indians' Cliff Lee facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-4, Indians' Cliff Lee facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-4, Indians' Cliff Lee facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-4, Indians' Cliff Lee facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-4, Indians' Cliff Lee facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-4, Indians' Cliff Lee facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-4, Indians' Cliff Lee facing 9-1-2","Bottom of the 5th, Red Sox Batting, Behind 1-4, Indians' Cliff Lee facing 9-1-2"
b5,1-4,0,---,"4,(2-1) CBBX",,BOS,Mark Bellhorn,Cliff Lee,-7%,73%,Double to CF (Fly Ball to Deep CF)
b5,1-4,0,-2-,"3,(2-0) BBX",O,BOS,Johnny Damon,Cliff Lee,3%,76%,Groundout: 1B unassisted; Bellhorn to 3B
b5,1-4,1,--3,"1,(0-0) X",R,BOS,Edgar Renteria,Cliff Lee,-8%,68%,Double to LF (Line Drive to LF Line); Bellhorn Scores
b5,2-4,1,-2-,"1,(0-0) X",,BOS,David Ortiz,Cliff Lee,-7%,61%,Single to RF (Line Drive); Renteria to 3B
b5,2-4,1,1-3,"1,(0-0) X",RO,BOS,Manny Ramirez,Cliff Lee,0%,62%,Flyball: CF/Sacrifice Fly (Deep CF); Renteria Scores
b5,3-4,2,1--,"12,(2-2) BCFFBFFFFFFC",O,BOS,Kevin Millar,Cliff Lee,4%,65%,Strikeout Looking
,,,,,,,,,"2 runs, 3 hits, 0 errors, 1 LOB. Indians 4, Red Sox 3.","2 runs, 3 hits, 0 errors, 1 LOB. Indians 4, Red Sox 3.","2 runs, 3 hits, 0 errors, 1 LOB. Indians 4, Red Sox 3."
